Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Richmond    24 usa 28  2  2  2 44 424 291 291 291   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Roberto_Verde 28 mex 23  2  2  2 29 154 291 291 291   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Jacob       20 nig 22  1  1  1 27 452 420 420 420   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Tilman      22 aus 19  1  1  1 11 232 470 470 470   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Veloso      28 por  4 27 17 17 30 381 890 579 847   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Vadnais     25 uru 10 26 20 18 36 315 219 266 676   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Blum        26 uru  8 26 20 16 21 291 107 516 692   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Stitzer     28 fra  2 25 16 14 21 540 346 639 575   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Montana     27 usa  2 20  8 14 17 329 390 313 904   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Verchsion   22 arg  1 17  7  6 43 300  69  98 109   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Winton      30 ger  6 19 29 18 28 291 791 460  31   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Sivils      30 nzl 10 15 28 17 21  21 903 154 157   0   0    0   0   0   0   0   0   0   0   0   0   0   0
JJ_Massey     26 mex  3 13 27 19 37 291 117 833 723   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Weatherbie  29 arg  4 10 26 16 30 615  16 292  40   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Gates       27 arg  2 17 26 17 12 151 214  12 688   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Greene      29 bra  7 17 25 19 34 510  24 617 127   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Bucyk       27 cze  2 16 19  6 58 291 648 363 355   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Toutant     24 kor  1  9 19 15 14 660  47  68 780   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Lillian       28 mex  4 10 17 27 42 291 912 271 136   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Blunk       27 mex  2  6 15 26 39 291 797 192 802   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Lebron      27 cam  2 13 15 24 38 500 597 722 917   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Lumm        26 kor  1  3  6 20 14 480 235 662 106   0   0    0   0   0   0   0   0   0   0   0   0   0   0
