Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
E_Pakala      30 mex 28  1  1  1 26  60 300 300 300  12   0 1142   0  73  31   0   0   0   0   0   2   0   0
G_Tenney      22 alg 23  1  1  1 10 562 500 500 500   3   0  285   0  19   9   0   0   0   0   0   0   0   0
Van_Breukelen 22 hol 20  1  1  1 37 160 600 780 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Februar     28 fra  2 26  3  9  7 369 545 812 657  15   0 1427   0   0   0  24   1  14   0   0   0   0   0
B_Davos       29 mex  7 25 17 15 27 300 791 446 842  15   0 1427   1   0   0  28  15  12   1   1   4   0   0
H_Vaught      33 CZE  7 25 10  4 33 435  15 268 893  13   0 1129   1   0   0  23   6   3   0   1   2   0   0
R_Tremaine    24 nir  8 24  6  4 32 450 504 807 621  15   0 1427   1   0   0  23   3   7   0   0   0   0   0
S_Hamidou     33 cam  4 19  1  1 48 300 814 169 347   4   2  298   0   0   0   3   0   0   0   0   0   0   0
G_Tariel      32 geo  8 19  2  1 18 480 703 915 709   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Feypel      25 kor  1 19  4  4 45 300 545 998 836   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Medearis    22 por  1 19  4  3 33 300 821 243 805   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Paule       29 por  1  5 24 15 36 300 693 855 526  15   0 1427   0   0   0   6  24  18   2   0   6   0   0
H_Pardee      28 egy  1  1 23 13 26 300 184 226 811  15   0 1427   0   0   0   0  32  21   2   2   0   0   0
K_Elinski     33 rus  1  5 21 11 19 300 275 402 192  12   1 1075   0   0   0   2  18  11   1   1   0   0   0
G_Daum        22 usa  1  5 21 12 25 480 133 950 869  14   0 1238   0   0   0   1  10  16   1   0   0   0   0
G_Broome      22 nzl  1 12 21  6 16 300 528 452 714  14   0 1329   0   0   0   4  19   7   0   1   0   0   0
T_Faester     28 egy  1  2 20  2  9 300 830 115 890   1   1   70   0   0   0   0   0   0   0   0   0   0   0
Stephane_Mbia 22 cam  1  4 19  9 34 840 356 206  20   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Milosevic   22 cze  1  4 19 11 62 300 172  22 434   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Disharoon   31 hol  1  3  6 23 33 340 371 927 844   9   0  854   0   0   0   1   1  19   3   0   6   0   0
O_Coentrao    31 por  1  2 11 22 24 300 785 662 378  12   0 1096   0   0   0   0   6  24   2   0   0   0   0
A_Hunt        23 eng  1  7  4 19 39 480 105 885 697   1   1   46   0   0   0   0   0   1   0   0   0   0   0
K_MacDonald   22 sco  1 10  3 19 23 480 288 394  14   0   0    0   0   0   0   0   0   0   0   0   0   0   0
