Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Longthorne  21 nir 18  1  1  1 11 351 300 300 300  10   0  949   0  27  23   0   0   0   0   0   0   0   0
Y_Boling      21 egy 17  1  1  1 11 779 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Topal       21 uru 17  1  1  1 29 306 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Milling     20 por  1 19 11  9 44 300 325  36 961  10   0  949   0   0   0  12   3   7   0   0   2   0   0
Y_Wickings    21 wal  1 19  6  3 55 300   6 599  91  10   0  949   0   0   0   8   5   0   0   2   4   0   0
L_Ditmeyer    21 ger  1 18  4  6  8 300 910 705 586  10   0  936   0   0   0   8   3   2   0   0   0   0   0
K_Daller      21 fra  1 18  6  4 16 300 368  98 527   9   1  774   0   0   0  11   4   2   1   0   2   0   0
V_Milton      20 fra  1 18  5  7 53 300 425 194  27   3   1  280   0   0   0   3   0   3   0   0   0   0   0
U_Londino     19 ita  1 18  3  5 50 300 288 374 693   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Dijkstra    18 aut  1 17 11  9 53 300 200 330  16   5   0  385   1   0   0   5   1   2   1   0   2   0   0
A_Crager      18 rom  1 16  6  9 15 300 221 917   5   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Presa       17 rom  1 15 14  9 20 300 878  60 165   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Brudzinski  17 rom  1 15  8  8 13 300 786   1  42   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Youseman    17 rom  1 15  4  6 42 300 770 911  12   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Whytock     17 aut  1 15  6  4 51 300 981 732 359   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Lush        21 aus  1  5 17  7 21 722 298 903 852   8   0  671   0   0   0   1   8   5   0   0   0   0   0
Q_Saurman     20 jap  1  6 17 12 14 300 135 370 880  10   0  949   0   0   0   2  15   7   2   0   2   0   0
A_Earlywine   20 fra  1  5 17  5 28 300 319 332 294  10   0  949   0   0   0   1  16   3   0   1   2   0   0
E_Stadelman   19 aus  1  8 17  4 55 300 446 368 690   5   1  466   0   0   0   1   3   3   0   0   4   0   0
Y_Lieseke     17 aut  1 14 15 10 17 300 440 769  13   8   0  761   0   0   0   2  16   6   0   0   0   0   0
E_Elting      16 aut  1  7 14  4 13 300 910 881 521   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Armfield    19 cam  1 12  6 18 29 300  97 137 774  10   0  949   0   0   0   2   3  19   2   0   2   0   0
N_Klymochko   21 rus  1  4  6 17 23 300 349 268 433   4   0  377   0   0   0   0   1  11   0   0   0   0   0
L_Popkes      18 cze  1 14  3 15 33 300 345 373 674   1   0   17   0   0   0   0   0   0   0   0  10   0   0
