Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Straughn    27 aus 24  1  1  1 14 303 300 300 300  14   0 1360   0  56  18   0   0   0   0   0   0   0   0
S_Lenegear    22 arg 19  1  1  1 51 619 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Phantom     30 usa  2 25  2  3 37 300 379  77 274  14   0 1360   0   0   0  22   0   5   1   0   2   0   0
U_Feldevert   24 fra  1 22  4 12  8 300 997 900 718  14   0 1360   0   0   0  12   2  21   3   0   0   0   0
Q_Belfoure    23 bel  1 22  3  3 43 278 659 889 831  11   0  940   0   0   0  12   1   2   0   0  14   0   0
V_Siewert     22 nzl  7 22 16 14 26 300 504 630 632  14   0 1360   2   0   0  21  14  14   2   0   4   0   0
J_Baby        32 spa  1 21  4  5 11 300  76 924 702   5   2  420   0   0   0   5   0   3   0   0   0   0   0
A_Pizza       27 ita  1 18 14  4 11 300 529 483 489   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Mayhead     24 nir  1 18  3 12  9 300 534  82 952   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_van_Ginkel  24 hol  1  2 24 12 24 480 880 165 160  14   0 1281   2   0   0   1  44  10   0   7   2   0   0
M_Laudrup     23 den  1 13 22 16 29 300 734 217  11  13   0 1244   1   0   0   3  42  10   2   2   0   3   0
P_Gilbough    22 arg  1 15 22 15 16 300 979 106 499  14   0 1360   1   0   0  11  32  12   1   3   0   0   0
W_Brozek      29 cze  2 10 21 15 23 300 559 280 421  14   0 1329   1   0   0   2  21  18   1   2   6   0   0
P_Tunstall    25 sco  1  3 20  3 19 380  63 804 781   2   1  116   0   0   0   0   5   0   0   0   0   0   0
R_McElrath    23 sco  1  6 19  3 37 300 306 780 155   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Lotterhos   27 bra  1  4 19  4 42 300 801 559 344   1   1   79   0   0   0   0   1   1   0   0   0   0   0
R_Dehnart     24 bra  1 11 18  3 10 400 991 759 752   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Ateba       33 CAM  1  4  6 25 19 300 906 123 196  14   0 1360   1   0   0   2   5  48   8   0   2   0   0
A_Giorgadze   32 geo  3  6  6 23 16 300 812 361 310  13   0 1159   0   0   0   1   1  30   0   0   0   0   0
H_Northlane   27 nir  1  5  3 21 39 300 379 528 738   5   4  201   0   0   0   1   0   6   0   0   0   0   0
E_Buglioli    25 mex  1  4  6 19 44 300 148 215  15   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Sternaman   29 swe  1  5 12 19 10 300 452 150 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0
