Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Wright      18 sco 21  1  1  1 14 172 528 528 448   8   0  762   0  35  16   0   0   0   0   0   0   0   0
E_Slob'nova   20 rus 19  2  2  2 40 144 177 177  97   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Quitman     20 gha 16  2  2  1  5 969  75  75 994   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Tretiak     16 rus 14  1  1  1 15 654 420 420 340   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Gritt       19 eng  1 21 16  6 18 924 640 657 447   8   0  725   1   0   0  12   9   8   1   0   0   0   0
C_Underwood   20 eng  1 20 14  9  8 894 951 122 252   8   0  762   0   0   0   4   8  13   1   1   0   0   0
L_Fox         17 eng  4 19 16  6 28 420 493 660 198   8   0  762   0   0   0   4  12   5   0   0   0   0   0
G_Mugliett    20 hun  1 19 11  6 31 510  34 147 363   6   0  569   0   0   0   4   3   7   0   1   0   0   0
D_Durante     21 bel  1 17  3 12 52 924 910 940 807   4   5   43   0   0   0   2   0   1   0   0   0   0   0
A_Stone       17 eng  1 15  5  5 43 420 857 415 906   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Orr         16 can  1 15 13  7 24 420   3 465 469   8   0  759   0   0   0   7   6   6   0   0   0   0   0
Y_Jeynes      16 fra  1 13  4  5  8 420 671 572 349   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Todorowich  16 bul  1 13  5  3 40 420 967 573 522   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Kwok_Bo       21 chn  2  8 21 11 35 249 956 666 873   8   0  762   1   0   0   0  21   6   2   0   2   0   0
J_Robinson    20 wal  1  8 20  3  9 672 637 493 779   4   2  190   0   0   0   1   2   0   0   1   0   0   0
W_Junkin      21 ger  1 13 19 10 19 924 891 930  62   8   0  759   0   0   0   4  15  12   1   0   2   0   0
D_Luneau      20 swi  1  9 19  3  9 924 319 180 486   1   2    3   0   0   0   0   0   0   0   0   0   0   0
P_Bailey      19 can  1  8 19 10 11 564 385 232 259   8   0  762   0   0   0   1  12   9   1   2   0   0   0
Y_Twombly     21 jam  2  9 18  6 11 289 679 183 378   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Campbell    19 sco  1 11 17  7 47 672 593 106 774   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Sanders     17 eng  1  6 16  6 10 420 421 157 903   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Nielsen     16 den  1  5 14  3 11 420 692 926 434   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Tramezzani  17 ita  1  5 14  6  8 405 912 805 952   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Allen       20 eng  1  7 11 21 36 672  20 329 564   8   0  760   1   0   0   3   2  34   5   0   2   0   0
H_Buma        20 pol  1 13  3 18 30 924 585 733 967   0   1    0   0   0   0   0   0   0   0   0   0   0   0
O_Kunfare     19 ger  1  4 16 17  8 648 644 978 701   8   0  758   1   0   0   1  11  21   1   4   0   0   0
K_Fleshman    21 swe  1  8 10 17  8 405 563 364 760   3   3    6   0   0   0   0   0   2   0   0   0   0   0
J_Jagr        16 cze  1  4  6 14 20 420 860  48 577   0   0    0   0   0   0   0   0   0   0   0   0   0   0
