Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
G_Vasis       22 gre 24  1  1  1 28 812 300 320 300   8   0  746   0  53   8   0   0   0   0   0   2   0   0
O_Gabelia     27 geo 21  1  1  1 18 480 300 300 300   7   1  580   0  21   6   0   0   0   0   0   0   0   0
S_Cabal       22 spa 21  1  1  1 25 574 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Roat        30 ire 18  1  1  1 13 379 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Petka       22 cro  1 22  5  8 11 300  77 940 224  14   0 1326   1   0   0  20   7   9   2   1   6   0   0
C_Cao         23 jap  1 21  2  3  8 300 501 616 244  14   0 1326   1   0   0  21   2   2   0   0   0   0   0
W_Pierre      29 swe  1 20  5  2 24 300 925 511 999   6   0  574   0   0   0   9   0   1   0   0   0   0   0
Q_Dahner      25 cam  1 20 10  4 47 300 922 851 254  14   0 1326   2   0   0  24   4   4   1   1   4   0   0
G_Petokey     22 cro  1 20  4  6 29 300 805 436 244   8   0  752   0   0   0  13   0   3   0   0   2   0   0
O_Redmyer     24 rus  1  5 22  4 10 300 577 520 356  14   0 1326   0   0   0   4  23   5   0   1   4   0   0
F_Fou         25 kor  1  2 21  5 12 300 323 423 507  14   0 1326   1   0   0   0  14   8   1   1   0   0   0
O_Catey       23 wal  1  5 21  3 14 480 776 611 320  14   0 1326   0   0   0   2  27   2   0   0   0   0   0
B_Heiderich   23 ger  1  5 21  4  9 300 102 111 750  14   0 1326   0   0   0   2  18   0   0   1   2   0   0
Tiko_Morais   22 bra  1  9 20  7 14 390 329 717 194   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Dance       23 wal  1  4 19  9 25 390 458 471 469   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Shuldheisz  22 cro  1  3 19  4 20 300 736 822 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Ayres       25 sco  1  8  9 24 12 300 897 821  37  14   0 1326   0   0   0   5   2  23   4   0   2   0   0
Renato_Cesar  22 uru  1  5  6 20 33 300   4  84 822  11   0  955   0   0   0   0   3  19   2   0  10   0   0
Y_McElyea     22 sco  1  2  8 20  9 300 695 581 427   3   0  282   0   0   0   0   1   5   0   0   0   0   0
C_Guilbeau    24 fra  1 10 12 19 19 300 669 801 539   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Doradzi     23 geo  1  3 15 19 28 300 369 153 861   0   0    0   0   0   0   0   0   0   0   0   0   0   0
