Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Schwarzer   24 aus 25  1  1  1 28 957 300 300 300   2   0  187   0  10   5   0   0   0   0   0   0   0   0
V_Marvel      28 usa 21  2  2  2 50 872 757 449 449   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Sturdy      31 aus 20  2  2  2 38 993 669 361 361   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Fagina      30 aus  2 27 16 13 16 505 977 833 948   2   0  178   0   0   0   1   1   2   0   0  10   0   1
Scarface      26 usa  2 25 21 17 22 385 247 162 606   2   0  187   0   0   0   1   1   1   0   0   0   0   0
Haymitch      23 aus  1 24 18 20 23 959 707 295 446   1   0   67   0   0   0   0   1   1   0   0   0   1   0
A_Helwani     22 aus  9 23 16 14 25 300 400 300 324   2   0  187   0   0   0   5   0   3   0   0   0   0   0
J_Snow        22 aus  1 19  3  7 16 577 810 682 859   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Gibson      28 aus  2 10 26 23 39 793 140 155 154   2   0  187   0   0   0   1   0   3   0   0   0   0   0
Sousa         32 URU  3 16 25 11 13 121 440 226  70   2   2   74   0   0   0   0   7   0   0   0   0   0   0
Sammy_TheBull 31 usa  2 22 24  6 34 649 556 633 193   2   0  187   0   0   0   0   2   1   0   1   0   0   0
Patman        27 aus  2 15 24 20 29 529 506 271  23   2   0  151   0   0   0   1   1   1   0   0   0   0   0
B_Emerton     26 aus  9 18 24 18 23 500 857 205 729   2   0  149   0   0   0   1   3   3   0   0   0   0   0
B_Thackrah    28 ire  2 17 18 16 39 795 149 540 353   1   1   26   0   0   0   0   1   1   0   0   0   0   0
Jax_Teller    30 aus  1  2 16 28  8 742 271 684 361   2   0  187   0   0   0   1   0   5   0   0   0   0   0
Zangief       29 aus  1  5 11 26 29 826 992 413 847   2   0  156   0   0   0   0   1   1   1   0   0   0   0
Negan         25 aus  9 18 20 23 21 300 320 312 300   2   1  125   0   0   0   1   1   2   0   0   0   0   0
J_Sieliet     25 bel  1  6 12 19 23 500 448 779 636   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Rifkin      23 aus  1  2  7 18 29 300 638 354 818   0   0    0   0   0   0   0   0   0   0   0   0   0   0
