Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Knesl       23 rsa 23  1  1  1 17  57 300 300 660  25   0 2283   1 117  39   0   0   0   0   0   0   0   0
J_Fruechte    28 por 19  1  1  1 17 353 300 300 480   3   1  265   0  18   7   0   0   0   0   0   0   0   0
G_Svendssen   31 swe  8 26 15  4 12 300 448 139 878  26   0 2386   3   0   0  31  21  16   1   2   0   0   0
E_Teeters     28 spa  7 25 11  4 18 300 628 189 677  27   0 2546   1   0   0  38  19   5   1   3   4   0   0
G_Figueroa    33 ARG  6 24 19 13 23 320 703 987 216  20   2 1639   4   0   0  24  22  32   6   3  12   0   0
D_Salpigidis  31 gre  3 24 18  1 29 300  65 170 655  24   1 2141   0   0   0  31  22   5   0   1   2   0   0
M_Farr        20 jam  7 21 13  2 37 500 792 533 513   8   1  664   0   0   0   6   3   4   0   0   2   0   0
T_MacCurrach  22 ire  1 20 16  9 66 300 372 296 614   7   2  478   1   0   0   5   3   4   1   1  10   0   0
P_Cece        27 hol  2 20  7  3 11 417 133 960 113   4   4  160   0   0   0   2   1   0   0   0   0   0   0
T_Burgess     22 usa  1 19  8 11 38 786 183  40  54   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Pacos       28 mex  3  6 25  2 17 300 710 827 122  26   0 2359   0   0   0   1  49   7   0   4  10   0   0
H_Norregaard  29 den  2 11 25  3 32 480 823 590 890  27   0 2536   1   0   0  10  55   5   1   4   6   0   0
U_El-Sakka    30 egy  6 10 24  6 28 300 995 694 348  26   0 2399   1   0   0   9  51  10   1   6  14   0   0
S_Ugarte      21 spa  4  7 22  8 25 450 277 729 218  21   4 1618   0   0   0   1  28  15   1   2   0   0   0
I_Wargo       24 ita  6 11 20 10 15 306 954 500 644   9   7  320   0   2   1   1   6   3   0   0   0   0   0
J_Sexton      25 ire  1 16 20  5 27 590 526 214 971   7   7  194   0   0   0   4   2   1   0   0   0   0   0
R_Eriksen     30 den  2 11 14 26 24 450  31 121 201  23   0 1796   1   0   0   3  11  74   9   0   2   0   0
L_Lorin       26 fra  1  1  7 25 37 300  72 420 411  27   0 2560   1   0   0   0   9 107  14   1   4   0   0
E_Saulnier    20 hol  1 10 15 22 32 300 676 704 211  21   5 1580   0   0   0  10  15  49  10   0   2   0   0
Q_Ryberg      25 swe  1  9  5 19 23 984 155 999 813   2   2  134   0   0   0   0   1   4   1   0   0   0   0
