Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Husok       19 eng 18  1  1  1 30 969 577 577 577  14   0 1283   0  67  30   0   0   0   0   0   0   3   0
E_Mordrake    18 aus 17  1  1  1 42 530 300 300 300   2   1  145   0  11   6   0   0   0   0   0   2   0   0
Half_Sack     21 aus  1 21 10  6  5 937 580 886 309  15   0 1428   0   0   0  20  14   2   0   0   2   0   0
The_Imp       19 aus  1 20 16 14 31 577 230 192 945  15   0 1428   3   0   0  28  14  17   2   2   2   0   0
I_Burkins     20 den  1 19  5  7  8 740 972 372 873  15   0 1428   0   0   0  18   6   8   0   2   0   0   0
J_Snow        20 aus  1 19  3  7 16 577 462 728 893  15   0 1108   0   0   0  20   0   6   0   0   0   0   0
T-Bag         19 aus  1 19  6 13 19 703 471 653 400  10   0  813   0   0   0  12   0   5   0   0   4   0   0
S_Baratheon   18 aus  1 17  9  5 10 529 516 245  49   2   2  140   0   0   0   5   1   0   0   0   0   0   0
J_Darling     17 aus  1 16  3  8  9 300  37 907 992   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Diaz        19 aus  1  9 19  5 24 444 241 851 278  14   0 1333   0   0   0   5  25   5   0   2  10   0   0
A_Vause       19 aus  1  2 19  9 26 444  91 400 907  15   0 1393   0   0   0   1  17  12   3   2   4   1   0
G_Gardner     18 aus  1  4 18  5 27 396 263 669 724  15   0 1428   0   0   0   3  22   5   1   5   0   0   0
S_Stirbei     19 rom  1  7 17  3 27 577 989 564 768   4   0  378   0   0   0   0   7   2   0   0   2   0   0
G_Beadle      18 aus  1  7 16  5 16 300 677 926 517   2   0  192   0   0   0   3   3   1   1   0   0   0   0
J_Tindale     17 aus  1  8 16  3 63 300 842 528 168   1   1   35   0   0   0   1   0   0   0   0   0   0   0
J_Mormont     18 aus  1  4 16 10 12 577 896 149 912   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Stark       20 aus  1  7  6 19 10 577 389   3 399  15   0 1428   0   0   0   1   7  30   4   0   0   0   0
Khal_Drogo    18 aus  1  3 15 19 20 588 755 475 242  15   0 1428   2   0   0   1   9  26   9   0   0   0   0
P_Baelish     19 aus  1  6  9 17 32 577 124 876 203   8   8  320   0   0   0   0   1   2   0   1   0   0   0
Crazy_Eyes    17 aus  1  2 12 16 20 444 189 236  25   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Scotty_T      16 aus  1  3  4 14 28 300 531 666 898   0   0    0   0   0   0   0   0   0   0   0   0   0   0
