Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Tutay       19 zzz 18  1  1  1 34 583 390 390 390   1   0   92   0   8   3   0   0   0   0   0   0   0   0
S_Ivey        20 ire 16  1  1  1 51 903 635 635 635   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Worfolk     20 ger  1 17  9  5 36 635 414 732 971   1   0   92   0   0   0   0   1   0   0   0   2   0   0
Q_Iuliano     20 ita  1 17  5 13 27 761 457 623 449   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Mugliett    19 zzz  1 17 10  5 31 390 551 383 800   1   0   92   0   0   0   1   1   1   0   1   0   0   0
M_Burchette   19 ger  1 17  5  3 55 516 133 513 529   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Burgin      18 swe  1 16 15 14 17 516 893 587 681   1   0   92   0   0   0   1   2   1   1   0   0   0   0
H_Huering     20 den  1 16  5 12 19 516 443 586 421   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Gwyn        19 zzz  1 16  1  5 17 390 335 923 406   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Bulmer      19 zzz  1 16  5 11 12 390 274 829 736   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Webster     17 eng  1 16  5 13  8 552 656 564 738   1   0   92   0   0   0   2   0   2   0   0   0   0   0
J_Furnifer    19 ger  1 15  4 14 66 645 723 484 683   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Luttman     19 nor  1 15  7  9 25 516 481 455 146   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Montemayor  17 xxx  1 15  5  8 10 300 529 135 211   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Poxon       16 xxx  1 14  3  6 46 300 673 146 483   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Previdi     16 xxx  1 13  9  7 11 300 419 381 424   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Dziedzicki  21 ser  1 10 20  4 68 779 785 264 605   1   0   92   0   0   0   0   2   0   0   0   0   0   0
F_Puder       20 aus  1  5 18 10 13 761 804 419 686   1   0   92   0   0   0   1   2   1   0   1   0   0   0
P_Cutlip      20 bel  1  6 17  2 16 516 512 938 300   1   0   92   0   0   0   0   2   0   0   0   0   0   0
S_Rugilo      19 swe  1  4 17  8 44 516 700 264 361   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Cutrell     18 zzz  1  4 16 15 44 390 707 663 696   1   0   92   0   0   0   0   0   4   0   0   0   0   0
B_Mongelos    18 xxx  1  5 16  6 15 300 361 763 421   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Buhler      17 zzz  1  7 14 10 10 390 944 509 588   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Dulles      16 xxx  1  4 14  4 54 300 254 394 284   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Nuvaerende  20 ger  1  4 17 19 14 635 327 765 192   1   0   92   0   0   0   0   1   4   1   0   0   0   0
W_Ypes        19 zzz  1  6  4 17 13 390 592  95 433   1   0   92   0   0   0   0   0   3   0   0   0   0   0
T_Overton     18 col  1  5  3 14 15 516 363 429 384   0   0    0   0   0   0   0   0   0   0   0   0   0   0
