Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
E_Portis      20 fra 18  1  1  1 38 477 300 300 300   8   0  754   1  32  18   0   0   0   0   0   0   0   0
W_Srna        19 cze 16  1  1  1 13 582 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Rightsell   16 pol 14  1  1  1 47 898 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Gamgee      21 eng  1 20  3 15 15 300 437 241 611   8   0  754   0   0   0  14   1   9   1   0   0   0   0
Quyuzyx       19 ita  1 16  4  5 34 300 831 716 257   8   0  754   0   0   0  14   1   1   0   0   4   0   0
C_Slowgrove   17 pol  1 16  8  2 42 300 163 895 613   7   0  575   0   0   0   7   3   2   0   0   0   3   0
A_Zhitnik     17 rus  1 15  6  6 33 300 730 110 829   8   0  754   0   0   0   4   3   3   1   0   4   0   0
U_Buckendorf  18 per  1 14  6  6 68 300 738 374 642   2   1  179   0   0   0   2   0   0   0   0   0   0   0
N_Vranizan    18 nor  1 14 11  3 14 426 136 527 169   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Potter      21 eng  1  4 19  7 44 300 134 508 127   8   0  681   0   0   0   0  14   2   0   1   0   0   0
Bob_Becks     21 uru  1  8 19  7 38 300 760 335 719   8   0  754   1   0   0   3  16   6   1   1   4   0   0
O_Oren        21 nig  1  6 18  3 11 300 133 471 449   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Erber       21 geo  1  8 18  3 28 300 256 314 305   8   0  732   0   0   0   6   9   3   0   0   0   0   0
S_Vikram      21 kor  1  4 17 12 20 300  63 984 566   8   0  754   1   0   0   4  11  13   3   2   0   0   0
L_Prevost     19 ukr  1  9 17  4 22 300 469 603 847   2   2   95   0   0   0   0   3   1   0   0   0   0   0
D_Noegel      18 jap  1  5 15  7 20 300 513 597 522   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Booe        17 pol  1  3 15  9 51 300 885 859 337   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Letavec     17 pol  1  6 14  7 18 300 373 781 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Zoernig     20 hol  1 10  6 18 26 300 726 173 561   8   0  754   0   0   0   2   5  11   0   2   2   0   0
Q_Creek       17 ukr  1  7  3 15 40 300 848 414 900   8   0  754   1   0   0   1   1  16   4   0   0   0   0
A_Kossman     18 bel  1  6  7 15 17 300 336 322 836   0   0    0   0   0   0   0   0   0   0   0   0   0   0
