Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Banuet      21 cze 19  1  1  1 10 426 300 300 300   7   0  663   0  32   7   0   0   0   0   0   0   0   0
T_Sproch      20 kor 17  1  1  1 15 348 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Mindrup     18 bel 16  1  1  1 19 620 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Steinborn   18 hol 16  1  1  1 59 585 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Wollmann    17 pol 15  1  1  1 35 906 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Krupnik     21 eng  5 20 11  5 30 300 741 845 681   7   0  663   0   0   0  11   6   2   0   0   0   0   0
L_Riggers     21 arg  1 19  5  5 30 300 706 402 659   7   0  663   1   0   0   9   3   5   1   0   0   0   0
Q_Baccaro     21 bra  1 19  7  4 44 300  76 570 651   7   0  663   0   0   0   4   3   2   0   0   2   0   0
F_Pinfold     20 nig  1 18  3  9  9 300 650 744 466   7   0  515   1   0   0   7   1   3   1   0   2   0   0
Y_Goodliff    20 uru  1 17  4  7 50 300 217 191 197   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Tripodi     19 bra  1 17  3  5 17 300 526 293 627   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Breault     20 fra  1 17  7  4 19 300 180 137 554   4   4  148   0   0   0   2   1   0   0   0   0   0   0
T_Breu        19 geo  1 16  4  6  9 300 565 410 417   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Tritton     17 swe  1 15 11  9  8 300 488 873 985   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Tuel        16 pol  1 14  5  9  9 300 483 419 321   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Swinburne   20 ire  1  5 19 10 28 866 795  78 320   7   0  495   1   0   0   2   9   5   2   1   0   0   0
V_Rinderle    21 swe  1  4 18  5  8 300 676 671 555   7   0  663   0   0   0   1  16   2   0   2   0   0   0
Y_Calvert     19 nzl  1  6 18  7 32 300 120 583  31   7   0  663   1   0   0   2  20   2   0   5   2   0   0
A_Sitlington  21 rus  1 10 17 10 53 300 363 793  39   7   0  535   0   0   0   4   5   5   2   0   2   0   0
S_Lhamon      20 bra  1  5 17  4 15 300 277 411 229   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Lonbech     19 kor  1 13 16  5 54 300 893 629 849   4   4  128   0   0   0   1   2   0   0   1   2   0   0
A_Actionano   18 ita  1  6 16 10 64 300 994 472  70   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Proffen     17 pol  1  8 15  4 22 300 850 281 617   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Broughton   16 pol  1  6 13  4 53 300 365 894 299   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Montesi     16 pol  1  4 13  6 18 300 333 664 351   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Calay       21 nir  1  5  7 18 16 300 475 651 801   6   0  547   0   0   0   1   5  13   2   1   0   2   0
K_Rillotta    21 bra  1  3  6 17 12 300  97 150 446   7   0  663   0   0   0   0   4  19   2   1   0   0   0
V_Winks       19 kor  1  7  5 16 35 300 316 597 810   5   4  264   0   0   0   2   0   9   5   0   0   0   0
