Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
R_Brannan     30 aus 28  1  1  1 14 631 390 450 390   7   0  665   0  42  13   0   0   0   0   0   0   0   0
S_Keeper      26 fra 20  1  1  1 31 928 390 390 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Banuet      22 cze 19  1  1  1 10 674 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Carvalho    26 bra  1 23  7 16 12 390 634 481 326   7   0  665   0   0   0  16   1   3   0   0   2   0   0
I_Nacewa      25 nzl  1 21  7  5 34 350 348 623 873   3   0  182   0   0   0   2   0   1   0   0   2   0   0
A_Burnam      22 jam  1 21 13  7 62 845 895 227 384   7   0  665   1   0   0  15   7   6   3   0   2   0   0
E_Lufcy       26 geo  1 20  3  4 22 390 725 765 786   7   0  605   0   0   0   6   0   1   0   0   0   0   0
U_Imbroll     26 sen  2 20 11  5 21 283 552 915 687   7   3  413   0   0   0   8   3   2   0   0   2   0   0
L_Krupnik     22 eng  5 20 11  5 30 300 961 823 683   3   3  130   0   0   0   3   0   2   0   0   0   0   0
L_Riggers     22 arg  1 19  5  5 30 300 828 410 675   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Powers      30 eng  5 10 25  9 22 390 416 612 796   7   0  628   0   0   0   4  17   5   0   1   0   0   0
L_Hausfeld    29 usa  2 19 25  7 36 855   4  35 856   3   0  248   0   0   0   1   6   1   0   1   0   0   0
B_O'Driscoll  28 ire  1 18 23 13 15 400 251 194 804   6   0  421   0   0   0   3   5   4   0   1   0   0   0
J_McClean     25 ire  1  7 20  6 19 390 934 275 754   7   0  631   0   0   0   0   6   1   0   0   0   0   0
W_Symonette   29 mex  1  8 20  4 31 390 384  63 213   6   6  183   0   0   0   3   5   0   0   0   0   0   0
K_Kallam      21 kor  1  6 20  8 36 300 899 612 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_McGeady     24 sco  1  5 19  3 28 300 129 930  82   5   0  370   0   0   0   0   6   0   0   0   0   0   0
N_Moxley      22 eng  1  9  5 22 26 811 102 381 244   7   0  665   0   0   0   1   0  13   1   0   2   0   0
O_Cobblepot   29 aus  2  3  7 22 17 356 188 389 272   7   0  665   1   0   0   1   0  13   2   0   0   0   0
C_Jargo       26 ita  1  3  9 21 14 390 435  86 161   2   2   77   0   0   0   0   1   1   0   0   0   0   0
U_Speo        33 jap  1  8 12 20 41 660 964 461 917   3   3  102   0   0   0   0   2   0   0   0   0   0   0
S_Ruan        30 aus  1  8  4 20 30 390 520 428 823   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Brown       26 ire  1  6  3 19 36 390 221 850 310   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_McInally    23 sco  1 11  7 18 52 300 463 180 126   0   0    0   0   0   0   0   0   0   0   0   0   0   0
