Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
L_Pine        33 nzl 23  1  1  1 21 382 300 300 300   2   0  187   0  15   4   0   0   0   0   0   0   0   0
J_Sudron      28 bra 19  1  1  1 22 793 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Rillotta    22 por 17  1  1  1 37 752 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Ungry       32 rus 16  1  1  2 36 613 930 870  51   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Good        32 eng  4 24 17 13 16 300 415 452 865   2   0  187   0   0   0   3   2   2   1   0   0   0   0
L_Hullender   28 geo  1 23  3  9 38 300  27 299 247   2   0  187   0   0   0   4   0   2   0   0   0   0   0
F_Millas      28 mex  3 22 11  4 28 300 691 295 282   2   0  187   0   0   0   3   1   1   0   0   0   0   0
E_Lumsden     27 por  1 21  9  9 51 300 286 304 979   2   0  187   0   0   0   4   1   1   0   0   0   0   0
W_Schug       25 arg  1 20  6  3 58 300 548  73 297   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_De          25 kor  1 19  7  5 17 300 809 176 916   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Ix_Bajalikka  27 gre  1 19  7  7 26 300 804 195 130   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Szerman     27 rus  1 19  5  3 17 300 148 425 316   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_DeVries     22 spa  1 19  8  6 10 264 480 936 227   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Celano      32 ita  9 18  9  1 46 500  42 910 616   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Cahill      26 aus  4 11 24 13 28 300 314 201 509   2   0  187   0   0   0   0   5   0   0   1   0   0   0
F_Venters     30 hol  3 13 23  4 25  68 698 686 516   2   0  187   0   0   0   1   1   1   1   0   0   0   0
F_Rae         23 eng  1 17 21  5 49 390 685 462 373   2   0  187   0   0   0   0   6   0   0   1   0   0   0
V_Kazaishvili 33 geo  4 10 20  7 32 300 433  84 747   1   0   95   0   0   0   0   0   0   0   0   2   0   0
F_Goan        25 uru  1  6 20 17 39 300 854 789 386   1   0   92   1   0   0   1   1   3   1   0   0   0   0
M_Boksan      32 rsa  2  7 19  1 12 201 194 536 676   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Veccia      23 ita  1  4 19  5  8 300 514 194 235   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Leandro_Lima  22 bra  1  5 19  5 13 300 269 225 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Sofia       34 cze  1  3 18  4 20 300 668 895  72   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Ji_Parana     23 bra  1  5 18  6 59 480 958 306 671   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Blanchard   31 fra  6  9 15 25 27 300 569 884  41   2   0  187   0   0   0   0   0   2   0   0   0   0   0
V_Lundstrom   29 swe  8 10 16 21 20 300 972 197 717   2   0  187   0   0   0   2   0   5   0   0   0   0   0
N_Seelig      24 rus  1  4  3 19  8 690 648 669 323   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Dornis      29 jap  1  3  9 19 12 300 708 903 987   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Arnez       33 spa  1  8 10 17 33 300 290 706 708   0   0    0   0   0   0   0   0   0   0   0   0   0   0
