Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Anselmo     21 gre 17  1  1  1 33 866 300 300 300   5   0  483   0  17   6   0   0   0   0   0   0   0   0
A_Banuet      20 fra 17  1  1  1 15 272 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Duit        17 ice 15  1  1  1 32 850 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Dillaman    21 kor  1 19  5  5 17 300 765 935 335   5   0  483   0   0   0   7   1   2   0   0   0   0   0
V_Cabuno      20 uru  1 19  5  7 50 300  59 340 463   5   0  483   0   0   0   6   3   4   0   0   0   0   0
C_Cottington  19 gre  1 17  5  3 23 300 822 747 773   5   0  483   1   0   0   8   1   2   0   0   2   0   0
S_Otra        18 ice  1 16  9  3 11 300 641  71 755   4   0  368   0   0   0   3   3   0   0   1   0   3   0
A_Wellington  18 aus  1 16  9  9 11 300 510 315 926   2   1  115   0   0   0   1   1   2   0   0   0   0   0
A_Rittierodt  17 can  1 16  4  6 40 300  59 464 305   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Colcord     18 can  1 15  7  5 42 300 448 418 335   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Meddick     21 nir  1  6 18  4  8 300 306 920 525   5   0  483   0   0   0   2   7   1   0   1   0   0   0
L_Barbos      20 mex  1  8 18  5 25 300 382 579 492   4   0  324   0   0   0   2   4   1   0   1  10   0   0
B_Lancaster   19 aus  1  6 17  8 10 300 301 646 459   5   0  483   0   0   0   0   7   4   1   0   0   0   0
L_Bradstreet  19 spa  1  9 17  4 11 300 865 521   3   5   0  483   0   0   0   0   6   1   0   0   0   0   0
P_Halifax     19 aus  1  8 16  4 12 300 400 844 340   1   0   94   1   0   0   0   3   2   1   0   0   0   0
A_Juelson     17 ice  1 14 15  3 19 300 746 411 732   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Vien        17 can  1  3 14  6 17 300 800 361 735   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Barca       21 spa  1  7 10 19 41 300  59 899  65   5   0  483   0   0   0   0   3  10   2   0   0   0   0
I_Coverdill   20 hol  1  3 10 18 11 300 724 947 728   5   0  483   0   0   0   1   4  15   0   0   0   0   0
Y_Doshier     19 kor  1 10  4 17 68 300 165 758 622   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Swilley     20 wal  1  8  4 17 12 578 432 918 611   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Ordowski    16 can  1  4  7 14 23 300 468 402 463   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Gobbi       16 can  1  8  8 13 32 300 357 596 426   0   0    0   0   0   0   0   0   0   0   0   0   0   0
