Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Husok       20 eng 19  1  1  1 30 366 577 577 577   7   0  660   0  21   5   0   0   0   0   0   0   0   0
C_Stanaback   20 den 17  1  1  1 44 338 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Flester     16 rsa 13  1  1  1 22 600 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
KFfeffell     21 bra  1 19  9  4  8 300 574 512 510   7   0  660   1   0   0   7   4   2   0   0   0   0   0
P_Palkovic    21 cze  1 19  7  3 49 300 732 223 843   7   0  660   1   0   0  12   3   0   0   0   2   0   0
P_Bolinger    21 gre  1 19  3  8 24 300 478 191 460   7   0  660   0   0   0   4   1   2   0   0   2   0   0
P_Silverholt  21 swe  1 18  4  3 20 300 904  85 440   7   0  660   0   0   0   3   3   2   0   0   0   0   0
F_Tomori      19 swe  1 17  8  5 12 300 144 549 419   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Brewis      18 aus  1 16  6  5  9 300 902 334 869   6   0  566   0   0   0   2   0   1   0   0   0   0   0
Y_Coddington  18 nir  1 16  4  7 27 300 729 381 509   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Righter     17 wal  1 15 10  5 16 300 505 447 565   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Bodmer      21 cze  1 10 20 12 33 875 569 843 772   7   0  660   0   0   0   1   6   5   1   1   4   0   0
M_Antoniou    21 fra  1  3 19  3 26 300 714 706 688   7   0  660   0   0   0   2  10   0   0   1   2   0   0
I_Bobadilla   21 arg  1  8 19  3 26 300 237 142 378   7   0  660   0   0   0   2   3   1   0   1   0   0   0
L_Ponky       21 jap  1  6 18  6  8 300 658 666 586   1   0   94   0   0   0   1   2   0   0   0   0   0   0
F_Simson      21 mex  1  6 17 12 26 300 378 553 974   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Staudt      21 gre  1  8 17  9  8 300 569 226 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Vollano     18 ita  1  9 16  4 41 300 439 931 340   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Fredinburg  19 bel  1  6 16  8 20 300 406 748 378   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Duggleby    17 fin  1  4 15  5 52 300 797 469 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Lorf        17 fin  1  3 14 11 10 300 194 564 195   0   0    0   0   0   0   0   0   0   0   0   0   0   0
PinkPinkFiz   21 ire  1  5  8 20  9 300 516 472 797   7   0  660   2   0   0   1   2  10   6   0   0   0   0
E_Stark       21 aus  1  7  6 19 10 577 389  27 459   1   0   94   0   0   0   0   0   3   0   0   0   0   0
P_Abisso      20 cam  1  8 10 18 12 300 176 578 547   6   0  566   0   0   0   0   1   6   0   0   0   0   0
S_Braunagel   19 mex  1  5  7 17 20 300 343 503 719   0   0    0   0   0   0   0   0   0   0   0   0   0   0
