Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
N_Hajna       26 cze 26  1  1  1 16 974 590 480 300  13   0 1237   0  80  23   0   0   0   0   0   0   0   0
N_Gibble      25 rsa 17  1  1  1 32 438 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Hollamby    30 nir 16  1  1  1 12 772 660 480 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Georges     26 cam  1 29 16 17 22 660 438 836  43  11   0 1049   1   0   0  12   5  18   2   3   0   0   0
L_Avalos      28 geo  1 27 19  3 47 660 753 306 963  10   0  935   0   0   0   9  12   1   0   0   4   0   0
W_Larwa       25 spa  1 26  4  6 12 480  98 594 177  13   0 1237   0   0   0  25   1   6   0   0   0   0   0
L_Eloundou    26 cam  9 25  7  7 38 640 617 848 357  13   0 1237   0   0   0  20   4  10   1   0   2   0   0
M_Clance      22 egy  4 22  9  3 42 300 233 521 124   6   0  569   0   0   0  11   0   2   0   0   0   0   0
B_Hannay      29 nir  1  6 28  5 14 480 397 105 328  13   0 1237   0   0   0   3  24   2   0   1   0   0   0
W_Cusack      25 swe  5 16 27 16 28 480 985  42 397  13   0 1237   0   0   0   3  22  11   2   4   0   0   0
L_Musee       27 gre  3 16 27 16 33 660 290 136 367  13   0 1237   1   0   0   5  32  16   2   5   6   0   0
T_Hambrice    21 cze  1 16 25 18 26 480 159 744 348  13   0 1237   1   0   0   5  14  16   2   0   0   0   0
F_Rightenour  22 nzl  1  9 20 13 16 300 646 983 312   1   0   95   0   0   0   1   2   1   1   0   0   0   0
J_Lames       25 uru  1 10 18  5 24 480 507 135 157   1   1   17   0   0   0   0   0   0   0   0   0   0   0
M_Busse       27 arg  1  6 17  8 30 660 598 550 945   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Skube       23 cze  1  3 17  8 15 300 994 590  92   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Vassileios  28 gre  1  5 14 27 34 570 125 957 607  13   0 1237   0   0   0   2   7  33   5   0   0   0   0
L_Breen       28 usa  1  1 10 27 30 480 606 571 306   9   0  765   0   0   0   0   3  26   5   0   8   0   0
S_Axtman      26 cam  1  8  5 18 46 660 715 608 242   3   1  281   0   0   0   0   0   9   1   0   0   0   0
Y_Pingree     23 nig  1  2  2 17 48 300 979 896 282   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Orellana    22 geo  1  8  3 17 18 300 755 883 217   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Deprow      25 rus  1  7  4 16 38 480 865 818 512   0   0    0   0   0   0   0   0   0   0   0   0   0   0
