Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
K_Tao         18 jap 17  1  1  1 66 185 300 300 300   8   0  760   0  28   6   0   0   0   0   0   0   0   0
B_Pilley      19 bel 16  1  1  1  9 732 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Graviss     17 arg 14  1  1  1 17 660 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Millat      17 egy 14  1  1  1  8 765 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Clance      20 egy  4 20  9  3 42 300 255 143   5   4   0  379   0   0   0   3   2   0   0   0   2   0   0
F_Baggins     19 eng  1 19  7  3  9 300 717 411 297   8   0  760   2   0   0  10   6   1   0   0   0   0   0
S_Bayrak      18 cro  4 18 15 13 35 450  49 725 829   8   0  760   2   0   0   7   7  14   2   1   4   0   0
Rui_Pinto     19 por  1 17  5  6 22 300 895 428 380   5   0  476   0   0   0   1   3   3   0   1   0   0   0
P_Molag       18 jap  1 16  6  9 27 300 690 496 938   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Yorath      16 swe  1 15 13  6 49 300 601 698 465   7   0  665   0   0   0   6   4   4   1   0   2   0   0
Q_Cossaboon   16 nig  1 13  2  5  9 300 889 350 393   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Rightenour  20 nzl  1  9 20 12 16 300 510 305 986   8   0  760   0   0   0   0  13  14   5   1   2   0   0
H_Spencer     19 sco  4 15 18 14 27 300 541 999 607   8   0  760   0   0   0   2  13   7   0   2   2   0   0
K_Zonnevylle  19 kor  1  8 18  3 10 300 345  77  65   8   0  760   0   0   0   4  17   1   0   1   2   0   0
J_Skube       21 cze  1  3 17  8 15 300 968 412  66   2   1   74   0   0   0   0   0   2   0   0   0   0   0
O_Coutre      18 hol  1 10 17  8 33 300 155 176  34   8   1  686   1   0   0   4  16   2   0   3   2   0   0
E_Molinar     17 ita  1  4 14  2 27 300 907 551 451   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Hendersonn  20 swe  3  7  8 21 25 300 330 618 660   8   0  760   1   0   0   1   6  26   6   0   2   0   0
V_Wallace     19 nzl  3  7  7 20 23 300 110  22 551   8   0  760   0   0   0   0   2  23   2   0   0   0   0
Y_Pingree     21 nig  1  2  2 17 48 300 929 846 232   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Oborski     19 rus  1 13  6 17 10 300 492 606 738   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Orellana    20 geo  1  8  3 17 18 300 705 833 167   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Haake       18 hol  1  3  8 16 20 300 471 493 612   0   0    0   0   0   0   0   0   0   0   0   0   0   0
