Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Bodet       20 bel 17  1  1  1 27 172 300 300 300   1   0   95   0   2   2   0   0   0   0   0   0   0   0
O_Lieser      19 mex 17  1  1  1  9 108 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Trewren     18 eng 16  1  1  1 28 291 300 300 300  12   0 1142   0  51  25   0   0   0   0   0   2   0   0
J_Fernandez   16 uru 13  1  1  1  9 841 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Ratinho     21 bra  1 18 11  8 22 300 508  69  67  13   0 1219   1   0   0  18   6  10   2   0   2   0   0
V_Crabtree    18 geo  1 17  5  4 58 300 267 192 901  13   0 1132   0   0   0  12   8   3   0   1   6   0   0
P_Gade        18 den  1 16  5  7 14 300 141 599 893  13   0 1062   0   0   0   5   5   7   0   0   4   0   0
V_Meshki      17 geo  1 15  3  4 19 300  10 558  66  13  13  298   0   0   0   2   2   1   0   0   0   0   0
P_Ferreira    17 bra  1 14  2  5 29 300 846 929 582   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Takachio    16 jap  1 14  6  6  9 300 228 597 598  12   0 1142   0   0   0  11   8  10   2   0   0   0   0
G_Neuwirth    21 rus  1  8 19  5 21 300 565 484 747  13   0 1237   1   0   0   4  30   8   0   3   6   0   0
E_Ritzinger   19 rus  1  5 19  9 51 300 728 640 404  11   0  899   0   0   0   2  13  13   0   0  10   0   0
T_Godley      19 kor  1  8 18  5 23 300  57 421  48   7   4  445   1   0   0   1   8   1   0   0   0   0   0
K_Pfost       21 rus  1  8 17  9 49 300 447 843 235   4   0  302   0   0   0   3   2   4   1   0   0   0   0
D_Brenvor     18 ger  1 16 17 11 10 435 302 849 724   7   0  607   0   0   0   5  10  11   1   1   0   0   0
G_Salla       19 uru  1 13 17  6 13 300 128 765 968  13   1 1221   0   0   0   9  27   4   1   2   2   0   0
W_Doyer       17 bel  1  9 16  9 47 300 117 437 991   4   1  301   0   0   0   1   7   1   0   0   2   0   0
W_Salzer      18 spa  1  6 15  5 28 300 499 909 730   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Rigate      20 rsa  1  5  3 17 15 300 480 258 193   6   5  182   0   0   0   2   0   6   0   0   0   0   0
V_Dahler      19 aus  1  6  6 17  8 300  45 453 244  13   0 1134   0   0   0   2   1  30   5   0   0   0   0
D_Arreghini   18 egy  1 10  8 17 36 300 110  95  99  12   0 1051   1   0   0   2   4  27   5   0   4   0   0
P_Bresson     17 geo  1  4  5 15 20 300 225 123 958   7   7   92   0   0   0   0   1   2   0   1   0   0   0
