Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
TheEye        24 hkg 24  2  2  2 20 741  32  32  32  21   0 2027   1 125  30   0   0   0   0   0   0   0   0
H_andy        26 eng 22  2  2  2 21 359 271 271 271   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Utechtt     22 hol 19  1  1  1 31 293 779 779 779   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Szandyii    27 kaz  1 23  1 16 18 587 825 231 891  21   0 2027   1   0   0  31   0  37   4   0   2   0   0
I_Scrooby     27 usa  2 23  3  9 27 284 574 268 305  21   0 2027   0   0   0  27   7  18   2   1   6   0   0
M_Gee         26 eng  2 23 16  4 31 204 211 906 389  21   0 1514   0   0   0  25  18   7   1   1   4   0   0
O_Adefemi     26 nig  2 22  6  9 26 557 678 868 450   9   4  667   0   0   0  13   2   2   0   0   0   0   0
I_Burrows     20 aus  1 22 13  2 25 377 102   6 505  15   0 1417   0   0   0  21   9   1   0   0   4   2   0
Style         25 hkg  1 21 11  6 18 923 203 820 178  13  12  456   0   0   0   4   4   6   2   0   0   0   0
Crush         22 hkg  1 20 18  8 61 786 639 691 927   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Evanchuck   22 usa  1 19  7  4 11 905 231 143 211   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Jay_Dub       27 hkg  1  1 23 14 20  14 424 789  42  21   0 2027   0   0   0   0  39  19   3   2   2   0   0
DoktorDiscord 25 hkg  2 10 21  6 17 230 132 911 445  21   0 1888   1   0   0   5  32   7   1   3   2   0   0
Mystery       23 hkg  2 16 21 19 37  86 491 815 846  21   0 2027   1   0   0   5  35  29   3   3   2   0   0
Kentavious    22 uru  1 14 21 17  6 905 893 844 509  12   0  981   1   0   0   1   9  17   5   0   0   0   0
Iggyping      23 hkg  1  7 21 11  8 905 937 256 500  12   7  645   1   0   0   1  15   8   4   1   0   0   0
Bad_Robot     22 hkg  1 18 21 15  9 768 924 487 397  14   3 1130   2   0   0   8  32  14   1   4   0   0   0
K_Zeininger   30 ger  3  4 20 13 38   8 874 539 263   2   2   42   0   0   0   0   1   2   1   0   0   0   0
G_Ivamy       22 cam  1 10 20 15 16 779 691 462 382  12   5  729   0   0   0   3  11   5   0   0   0   0   0
Cpt_America   28 usa  2  2 15 23 12 182 243 881 539  19   8 1071   1   0   0   0   9  28   1   0   0   0   0
Prof_Green    24 hkg  1  6 11 22 17 941 346 516 506  17   0 1429   0   0   0   2   5  39   3   0   0   0   0
O_Cobblepot   28 aus  2  3  7 22 17 356 138 359 118   8   8  184   0   0   0   0   1   6   0   0   0   0   0
