Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Gyle        20 usa 20  1  1  1 17 380 678 678 678   2   1  146   0   8   5   0   0   0   0   0   0   0   0
P_Lunz        18 aus 19  1  1  1 48 717 426 426 426   4   0  336   0  26   7   0   0   0   0   0  10   0   0
Y_Sussmann    20 aut 17  1  1  1 28 510 552 552 552   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Le_Tex        21 fra  1 20  9  5 50 786  94 888 874   5   0  482   0   0   0   7   7   0   0   1   0   0   0
L_Worner      20 ger  1 18 10  7 61 426 837  43 597   1   0   95   0   0   0   1   0   0   0   0   2   0   0
H_Gushlaw     19 uzb  1 18  5 10 10 426 245 305 150   5   0  482   1   0   0  12   1   9   3   0   0   0   0
N_Huyter      19 ned  1 17  6  8 51 552 757 133  85   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Auren       19 bel  1 17 13  7  8 426 860 992 110   5   1  413   0   0   0   7   6   4   0   0   0   0   0
U_Lycan       18 arg  1 16  4  5 21 426 588 343 962   4   4  111   0   0   0   0   0   1   1   0   0   0   0
N_Orange      17 hol  1 15  3  3 16 300 433 243 305   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Oquel       16 fra  1 14  8  5 16 300 697 369 844   5   0  345   0   0   0   3   2   5   0   0   0   0   0
Q_Huhlein     19 den  1  6 19  5 14 552 503 361 379   5   0  482   0   0   0   1  11   5   0   2   0   0   0
O_Culley      19 ire  1  7 18  6 48 552  88 740  29   5   1  408   0   0   0   1  15   1   0   2   0   0   0
F_Overly      19 aus  1  6 17  8 11 552 223 995 179   5   4  186   0   0   0   0   4   2   0   0   0   0   0
L_Pregler     19 usa  1  8 17  8 16 300 201 952 527   5   0  482   1   0   0   1  13   3   1   4   0   0   0
N_Youthed     18 nzl  1 11 15  4 65 300 729 357  17   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Boeckler    16 ger  1 11 14 13 26 300 384 418 736   5   0  370   0   0   0   0   5   7   1   1   0   0   0
S_Frydrych    19 swi  1 10  5 17 13 552  18 512 834   5   2  289   0   0   0   0   1   6   2   0   0   0   0
H_Clutton     17 eng  1  6  4 15 11 300 799 239 597   4   2  193   0   0   0   0   1   7   1   0   2   0   0
R_Jillson     17 aus  1  4  7 15 21 300 227 286 851   5   0  433   1   0   0   0   1  15   3   0   0   0   0
