Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
R_Pasveer     27 hol 26  2  2  2 11  61 300 300 300  27   0 2361   0  79  29   0   0   0   0   0   0   0   0
F_Dysart      20 slo 22  1  1  1 42 873 377 377 377  12   6  708   1  25   7   0   0   0   0   0   0   0   0
R_Marshall    26 eng 20  2  2  2 41 637 430 494 506   1   1   36   0   2   0   0   0   0   0   0   0   0   0
M_Calliot     29 can  2 26 18  8 12 549 665 520 629  26   2 2316   1   0   0  23  22  12   0   1   2   0   0
P_Stitzer     28 fra  2 26 16 14 21 540 141 927 776  29   0 2721   1   0   0  36  21  22   3   1  10   0   0
I_Ford        28 nir  7 24 18 15 17 300 532 851 404  19   0 1732   0   0   0  18  15  16   2   3   0   0   0
K_Reichley    26 ger  2 24 20  9 12 147 128 828 308  22   0 1940   4   0   0  27  27  12   2   2  10   0   0
P_Jarboe      23 gha  2 23 18 13 46   3 233 410 925  24   0 2206   1   0   0  19  13  21   3   1   6   0   0
F_Castango    22 egy  3 23 12 10 37 300 367 120 164  23   1 1683   1   0   0  24  13  14   4   2  14   0   0
P_Neel        25 eng  2 22 20 13 30  43 839 435 300  18   4 1341   1   0   0  13  27  12   1   4   4   0   0
J_Imel        23 ger  2 22 21 17 11 197 187 305  61  30   0 2782   2   0   0  12  33  30   5   3   0   1   0
A_Burnam      21 jam  1 21 13  7 62 845 628 176 295  16   0 1523   2   0   0  25  11  11   1   0   6   0   0
X_Cutko       21 por  1 21  8 11 12 892  34 881 918  15   0 1418   2   0   0  16   6  11   1   0   2   0   0
I_Campo       28 spa  2 22 25 13 33 675 208 444 494  26   0 2420   2   0   0  15  38  15   1   7   4   3   0
L_Hausfeld    28 usa  2 18 24  7 36 855 984 942 848  27   2 2361   1   0   0  10  42   6   0   2   6   0   0
E_Bego        28 nig  2  7 24 21 40 438  38  12 408  28   0 2585   0   0   0   4  33  42   6   0  16   0   0
H_Kuch        21 hol  1 13 21  7 20 908 931 254 936  15   1 1296   1   0   0   5  22   7   2   2  22   0   0
F_Oxindebox   31 gha  2  3 15 26 35 642 363 527 812  15   6 1061   0   0   0   0   5  40   3   0   0   0   0
G_Freeeeek    27 tur  2  6 19 25 36 499 755 903 708  30   0 2713   4   0   0   7  19  80  14   2   0   0   0
A_Mustang     27 por  1 14 10 23 29 474 409 754 635  11   2  894   0   0   0   3   3  17   3   0   0   0   0
Q_Ryberg      24 swe  1  9  5 19 23 984 155 988 759   0   0    0   0   0   0   0   0   0   0   0   0   0   0
