Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
N_Wurscher    18 slo 19  1  1  1 11 556 426 426 426  16   0 1526   0  60  20   0   0   0   0   0   0   0   0
Q_Dunsire     18 ire 17  1  1  1 13 470 578 578 578   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Muirfoot    17 slo 16  1  1  1 70 228 426 426 426   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Rund        20 slo  1 22 12  3 22 377 644  83 682  18   0 1688   1   0   0  16  13   4   0   1  10   0   0
J_Swancutt    19 eng  1 19  5  7 13 570 242 131 166   1   0   96   0   0   0   1   1   1   0   0   0   0   0
X_Prouten     19 slo  1 18 12  4 19 426 775  59 553  13   1 1150   0   0   0   9   8   7   0   2   0   0   0
F_Ivy         18 slo  1 18 11 11 38 426 749 928 509  19   0 1807   0   0   0  15  10  16   1   0   0   0   0
Ratboy        20 aus  1 17  3 16 26 829  56 758 319  18   0 1501   0   0   0  10   5  25   5   0  12   0   0
V_Bubar       17 can  1 16  5  8 41 300 863 656  95   1   1   31   0   0   0   1   0   1   0   0   0   0   0
K_Kallam      20 kor  1  6 20  8 36 300 899 487 911  19   0 1807   0   0   0   5  31  15   2   3   2   0   0
G_Sturzl      20 ger  1  4 18 15 10 722 573 910 110  19   0 1807   1   0   0   4  25  25   2   3   0   0   0
J_Baratheon   20 aus  1  7 18 12 23 559  34 611 691  15   0 1261   0   0   0   3  27   9   2   2   2   0   0
X_Buys        18 aus  1  6 17  4 21 578 118 395 116   1   1    4   0   0   0   0   0   0   0   0   0   0   0
C_Rubino      17 can  1  3 16  8 31 300 980 417  13   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Strasheim   16 can  1 11 15  7 14 300 626 172 830  10   8  425   0   0   0   1   6   2   0   0   0   0   0
O_Drouet      16 can  1  4 15  6 21 300 934  63 634   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Gullatt     18 slo  1  2 10 17 10 426 445  39 774  19   0 1734   1   0   0   0   5  40   5   0   0   0   0
N_Swilley     19 wal  1  8  4 17 12 578 407 893 561   5   2  393   0   0   0   1   0   4   1   0   4   0   0
K_Okawa       19 jap  1 13  4 16 24 564 406 866 291   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Hufft       17 slo  1  7  7 15  9 426 193 773 356   0   0    0   0   0   0   0   0   0   0   0   0   0   0
