Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Zubizarreta 20 spa 19  1  1  1 10 147 300 300 300   1   0   98   1   4   0   0   0   0   0   0   0   0   0
I_Anterhaus   20 nig 17  1  1  1 24 122 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Bosnich     19 aus 16  1  1  1 16 131 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Irwin       21 ire  1 19  3 10 41 300 195 241 561   1   0   98   0   0   0   1   0   2   0   0   0   0   0
O_Emmines     21 ita  1 18  3  3 10 300 677 574 426   1   0   98   0   0   0   1   0   1   0   0   0   0   0
A_Lalas       18 usa  5 18 15  2 36 500 294 892 866   1   0   73   0   0   0   1   0   1   0   0   0   0   0
P_McGrath     18 ire  1 16  8  9 11 300 949 201 955   1   1   25   0   0   0   2   0   0   0   0   0   0   0
R_Krol        18 hol  1 16 11  6 15 300 663 260  35   1   0   98   0   0   0   0   1   2   0   0   0   0   0
M_Sammer      17 ger  1 15  7  5 23 300 247 194 834   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Doherty     16 ire  1 13  5  7 20 300 167 202 324   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Scott       21 usa  1  2 18  2 25 300 996 526 710   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Deschamps   21 fra  1  8 18  5 11 300 754 870 397   1   0   98   0   0   0   0   3   1   0   0   0   0   0
X_Karas       21 gre  1 11 18  8 16 300 339 419 362   1   0   75   0   0   0   0   1   3   0   0   0   0   0
Dunga         18 bra  1 11 17  3 54 300 779 990 280   1   0   98   0   0   0   0   2   0   0   1   0   0   0
R_Summut      18 ger  1 11 17  4 30 300 836 496 861   1   0   98   0   0   0   0   1   0   0   0   0   0   0
D_Ginola      18 fra  1  7 16 10 44 300 769 248 943   1   1   23   0   0   0   0   0   1   1   0   0   0   0
D_Howells     16 eng  1  4 14  4 18 300 540 225 125   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Tramezzani  16 ita  1  5 13  6  8 300 132 349 242   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Fontaine    21 fra  1  4  5 18  8 300 213 625 375   1   0   75   0   0   0   0   0   0   0   0   0   0   0
D_Ashton      21 eng  1  6  3 17 13 300 718 922 981   1   0   98   0   0   0   1   0   3   0   0   0   0   0
S_Arveladze   17 geo  2  6  8 17 31 500 787 803 123   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Dahlin      19 swe  1 10  5 16 34 300 248 718 231   1   1   23   0   0   0   0   0   1   0   0   0   0   0
L_Ferdinand   17 eng  1  8  5 14 35 300 200 405 924   0   0    0   0   0   0   0   0   0   0   0   0   0   0
