Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Sandbeck    25 egy 28  1  1  1 28  77 300 300 300  12   0 1032   1  53   9   0   0   0   0   0   0   0   0
N_Hawk        27 arg 25  1  1  1 21 500 500 500 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_McCarthy    23 aus 20  1  1  1 57 115 300 300 300   4   2  327   0  10  11   0   0   0   0   0   2   0   0
S_Skraedder   30 swe 20  1  1  1 13  53 630 630 630   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Desailly    24 fra  1 23 16  4 16 300 929 434 189  14   0 1359   2   0   0  12  11   2   1   3   0   0   0
B_Lizarazu    21 fra  4 23 15  9 13 300 827 566 216  14   0 1359   1   0   0  14   9  18   0   1   2   0   0
J_Heitinga    23 hol  5 23 19  2 40 500 777 614 505  12   0 1173   0   0   0  14   8   1   0   1   2   0   0
W_Tamindzic   26 geo  8 21 16  4 40 460 726 501 295   3   1  215   0   0   0   4   0   0   0   0   2   0   0
G_C_Moore     22 wal  3 21 16 14 30 300 773 626 524  14   3  902   0   0   0   6   7  11   1   0   4   0   0
L_Matthaus    19 ger  1 20 16  6 11 300 245 943 947   5   0  397   0   0   0   3   3   0   0   0   0   0   0
L_Blanc       25 fra  1 19  2  2 43 300 279 872 932   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Walker      22 eng  1 19  2 10 46 300 208 661 224   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Bier        22 ger  1 19 12  3 58 300 970 823 292   8   8  223   0   0   0   4   2   1   0   0   0   0   0
P_Selinski    27 usa  4 16 23  8 11 300  37 687 452  14   0  932   0   0   0   5   9   3   1   1   0   0   0
H_Cannic      31 CRO  1  5 21 15 15 570 298 714 335  14  13  503   0   0   0   1  20   8   1   1   2   0   0
S_Freund      20 ger  1 16 21  8 23 300 839 675 561  13   0 1191   0   0   0   6  17  11   2   2  12   0   0
R_Giggs       23 wal  6 17 21 14 22 300   9 179 775  14   0 1359   0   0   0   4  25  22   2   2   0   0   0
N_Kovac       19 cro  9 17 21 16 32 300 801 253 769  14   0 1359   1   0   0   4  13  14   4   0   0   0   0
M_Rui-Costa   22 por  1  7 20  3 36 300 530 531  34   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Kerschner   24 swe  1 13 20  2 76 390 655 538 777   1   1   92   0   0   0   1   2   0   0   0   0   0   0
V_Halls       25 cam  1  4 19  6 19 300 599 628 275   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Coveny      21 nzl  3  4  5 25 33 300 912 920 453  12   0 1156   0   0   0   3   0  30   4   0   2   0   0
J_P-Papin     24 fra  1  5  9 22 21 300 405 768 337  14   0  923   2   0   0   1   3  21   6   1   2   0   0
C_Dugarry     23 fra  1 11  8 20 34 300  40 210 487  13  13  362   0   0   0   0   2   9   1   0   0   0   0
H_Larsson     22 swe  1  6  3 19 25 300 280 809 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Sieliet     22 bel  1  6 12 19 23 300  98 629 486   0   0    0   0   0   0   0   0   0   0   0   0   0   0
