Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Tomic       21 cro 17  1  1  1 14 868 300 300 300   3   0  287   0  19   7   0   0   0   0   0   0   0   0
H_St_Clair    16 eng 16  1  1  1 52 118 300 300 300   2   0  191   0   1   1   0   0   0   0   0   0   0   0
R_Nohren      20 bel 15  1  1  1 13 920 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Skremgeour  21 swe  1 17  9  3 23 300 691 457 423   2   0  191   0   0   0   4   1   0   0   0   0   0   0
Alderwonghen  16 bel  1 14  8  8 58 300 557 257 592   4   0  234   0   0   0   5   2   3   0   0   2   0   0
Samaldinho    16 bra  1 14 13  7 25 300 819 199 527   4   0  313   0   0   0   1   1   5   1   0  10   0   0
Tommy_Gjini   16 alb  1 14  9  8 32 300 861 244 837   5   0  478   0   0   0   4   1   3   1   0   0   0   0
Verteireld    16 bel  1 14 10  9 15 300 776 621 343   5   0  478   0   0   0   9   6   2   0   2   0   0   0
GazBaz        16 eng  1 13 13  7 66 300 570 632 756   2   2  148   0   0   0   2   1   3   1   0   0   0   0
O_Bravo       18 arg  1 16 18 13 14 300   3 809 640   5   0  478   0   0   0   1  10   6   0   2   0   0   0
M_Delac       19 cro  1  7 17 10 43 300 854 780 963   1   0   94   0   0   0   0   4   0   0   0   0   0   0
A_Boisseau    17 fra  1  9 15  8 10 300 766 662 404   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Ali_Delly     16 eng  1  6 14 11  8 300 557 504 485   5   0  478   1   0   0   2   6   8   2   0   0   0   0
Boglan_Abic   16 cro  1 11 14  8 47 300 704 581 524   5   0  478   0   0   0   1   3   2   0   0   0   0   0
Juan_Yarma    16 ken  1 13 14  6 10 300 199 447 372   5   0  478   1   0   0   0   7   3   2   2   0   0   0
Kiki_Cortez   21 arg  1  5 14 18 13 596 939 542 640   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Nainoa      20 nig  1 16  6 18 12 300 533 351 808   4   0  384   0   0   0   2   2   5   1   0   0   0   0
B_Morton      19 col  1  5  3 16 18 300 818  58 620   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Viekween    16 saf  1 13 13 14 13 300 325 483 532   5   0  478   0   0   0   5   2   8   1   1   0   0   0
