Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
L_Valdez      21 spa 24  1  1  1 20 203 300 300 300   8   0  753   0  46  15   0   0   0   0   0   0   0   0
Y_Onopko      27 rus 19  1  1  1 25 518 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Frazaki     31 jap  5 25 11  5 29 300 353 146 449   8   0  753   1   0   0  13   8   8   0   0   2   0   0
O_Savoy       28 uru  4 24 18 15 20 300 610 348 300   9   5  457   1   0   0  14   4   2   0   0   0   0   0
P_Neel        26 eng  2 22 20 13 30  43 989 489 354   8   0  663   0   0   0   9   4   7   1   0   0   1   0
C_Salmon      25 sco  7 22 15  6 36 300 159 890 395   8   0  753   0   0   0  15   7   8   1   0   0   0   0
Dede          27 bra  2 22 18  7 16  51 306 930 584   5   1  368   0   0   0   4   7   1   0   1   0   0   0
L_Beskovic    26 cze  4 21  4  4 28 300 965 950 681   2   1  153   0   0   0   1   0   0   0   0   2   0   0
U_Poulsen     26 den  1 20  7  3 13 480  85  98 800   4   0  375   0   0   0   6   2   2   0   0   0   0   0
R_Greene      30 bra  7 17 26 19 34 510  88  99 265   8   0  753   0   0   0   3  18  11   0   0   2   0   0
Javi_Garcia   28 spa  1 14 24 15 27 300  30 685 263   8   0  753   0   0   0   2  11  10   0   0   4   0   0
W_Evy         22 cub  1 19 22  4 21 671 852 522 689   6   0  481   1   0   0   3  10   2   1   1   0   0   0
K_Guckes      29 spa  1  4 21  5 21 300  21 696 958   1   1   90   0   0   0   0   1   1   0   0   0   0   0
O_Jewer       19 fra  1  4 21 13 23 300  80  32 347   8   0  753   0   0   0   0  10  13   1   1   0   0   0
I_Raiford     20 wal  1 12  9 21 34 300 973 880 705   8   0  753   0   0   0   2   3  24   3   0   2   0   0
K_Jeakins     25 nzl  1  5  2 20 13 300 767 884 353   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Charles     22 wal  1 15 10 19 39 300 903 823  32   0   0    0   0   0   0   0   0   0   0   0   0   0   0
