Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Lehmann     27 bec 29  1  1  1 24 689 480 300 300   2   0  188   0   6   1   0   0   0   0   0   0   0   0
B_Roat        29 col 18  1  1  1 13 379 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Bodell      19 mry 17  1  1  1 16 435 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Mcqueeney   29 bag  2 27 21 17 16 570 946 170 124   2   0  188   0   0   0   2   0   1   0   0   0   0   0
V_Hemingsley  30 shu  1 26 20 15 34 730 865 585  27   2   0  188   0   0   0   1   0   3   1   0   5   0   0
C_Cannon      30 vil  2 25 11 12 10 306 202 436 678   2   0  188   0   0   0   3   1   1   0   0   0   0   0
B_Squeak      26 sup  1 22 16 11 25 300 805  98 659   2   0  188   0   0   0   1   0   2   0   0   0   0   0
T_MacCurrach  19 cky  1 19 15  9 66 300 344 781 306   2   0  188   0   0   0   1   0   3   0   0   0   0   0
D_Irwin       19 hhy  1 19  3 10 41 300  46 235 497   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Halfpenny   19 muy  1 18  4  8 17 300 353 347 189   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_McNesby     19 juy  1 17  6  6 18 300 808 147 818   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Whitsell    19 sby  1 17  5  2 39 300 668 790 606   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_McGrath     16 hhy  1 15  7  9 11 300 598 692 259   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Finnan      16 hhy  1 14  4  5 20 300 309 785 751   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Belcher     27 bbs  2  6 28 18 23 480 726 244 822   2   0  119   0   0   0   0   2   2   1   0   0   2   0
P_Harrington  28 pen  1  5 28 11 36 660  65 725 380   2   0  188   0   0   0   0   4   0   0   1   0   0   0
B_O'Driscoll  25 dub  1 17 22 13 15 400 931 706 760   2   0  188   0   0   0   1   3   1   0   1   0   0   0
J_McClean     22 dub  1  8 19  6 19 390  45 885 932   1   1   69   0   0   0   0   0   0   0   0   5   0   0
J_Sexton      22 cop  1 16 19  5 27 590 332 992 847   2   0  188   0   0   0   1   4   0   0   0   0   0   0
A_Colley      19 say  1  4 18  2 27 300 660 302 994   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Skeels      20 mry  1  5 18  3 25 300 998 859 151   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_McCurrey    22 jud  1  5 17  3 16 300 716 816 805   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Percy       22 sup  1  2 17  5 20 300 654 282 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Hope        18 bay  1  7 17  6 13 300 635 179 835   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_McMordie    20 say  1  4 17  6 11 300 239 945 832   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Cream       18 suy  1  2 17  8 25 300 621 873 819   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Holland     17 tty  1  4 17 15 14 480 452  24 643   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Blurton     19 why  1  7 17  7 14 300 364 860 797   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Hedman      21 fby  1  3 16  3  8 300 223 259 216   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Longhouse   17 cky  1 11 16 11 32 300 259 835 876   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Milleson    17 mfy  1  7 16  3  8 300 774 718 993   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_O'Connor    17 dhy  1  6 16  5 42 300 201 323 209   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Magennis    17 mfy  1  9 15  9 17 300 184 373 392   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Brinsmade   17 suy  1  7 15  3  8 300 615 848 644   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Councilman  17 why  1 11 15  5 24 300 705 193 382   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Deegan      22 mod  1 11  8 20  9 300 976 790 927   2   0  188   0   0   0   0   2   2   0   0   0   0   0
J_Brown       23 dub  1  6  3 19 36 390 241 938 170   0   0    0   0   0   0   0   0   0   0   0   0   0   0
PinkPinkFiz   18 fcy  1  4  5 19  9 300 948 853 203   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Ferdon      22 vil  1  7  5 18 45 840 119 859 151   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Burgan      24 whh  1  8  4 18 16 300 469 713 325   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Boner       20 mfy  1  5  7 18 11 300 792 660 261   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Kinsela     19 ccy  1  7  3 18  8 300 487 750  38   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Desbrow     21 rsy  1  9  4 17 24 300 790 778 341   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_McQuitty    19 fcy  1 10  4 17 11 300 313 559 523   0   0    0   0   0   0   0   0   0   0   0   0   0   0
