Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Scalic      28 cro 25  1  1  1 19 321 340 300 300   4   0  377   0  29   2   0   0   0   0   0   0   0   0
Q_Schreder    24 nir 18  1  1  1 69 245 530 490 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Bellin      23 arg 17  1  1  1 15 718 430 390 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Garay       30 arg  1 24  7  6 10 480 736 336 858   4   0  377   2   0   0  13   2   0   0   0   0   0   0
A_Camochi     22 jap  8 23  9 10 19 300 325 842 830   4   0  377   0   0   0   7   1   0   0   0   0   0   0
J_Briton      24 fra  6 22  8  6 35 300 618 552 472   4   0  377   0   0   0   3   0   0   0   0   0   0   0
E_Zurek       27 cze  1 21  4  4 18 480  88 277 203   4   0  377   0   0   0   3   0   0   0   0   0   0   0
K_Asbrand     28 ger  1 20  4 12 14 515 548 573 251   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Harsh       23 nir  1 19  5  3 11 390 425 467 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Thedans     23 aus  1 19  5  3 15 300 900 471 149   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Deveron     22 spa  1 18  2  2 22 390 337 695 967   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Verminski   22 rus  1 18  8  4 48 390 195 861 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Skillasson  24 den  1  6 23 10 44 300 990 547 790   3   0  191   1   0   0   3   3   0   0   1  10   0   0
M_Samaras     30 gre  6 10 21  1 14 480 275 526 423   4   0  377   0   0   0   1  10   0   0   0   2   0   0
G_Raffield    25 cze  1  5 21  3 13 300 740 328 988   4   0  351   0   0   0   0   5   0   0   1   2   0   0
W_Galen       26 nir  1  3 21  5 17 300 302  57 251   2   0  191   0   0   0   1   2   0   0   0   0   0   0
Mojo_Risin    24 aus  1  3 21  7 24 300 725 116 161   3   0  281   0   0   0   1   3   0   0   0   0   0   0
Q_Tertzakian  24 nzl  1  9 20  3 21 750 557  51  67   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Mauger      24 den  1  3 19  8 20 355 486 327 187   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Maziero     23 ita  1  5 19  3  8 480  77 384 541   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Zikos       25 gre  1  6 10 22 20 300 539 566 134   4   0  377   0   0   0   5   1   8   1   0   0   0   0
Y_Hetland     30 nir  1  2 11 21 44 300 644 658 581   3   0  208   0   0   0   0   0   4   1   0  20   0   2
A_LaPorta     25 fra  1  2  4 21 45 300 547 745 446   2   1  119   0   0   0   0   0   3   1   0   0   0   0
P_Kiggan      23 hol  1  2  5 19 29 390 800  99 439   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Shepler     22 nir  1  5  4 18 39 390 622 416 567   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Whitener    22 sco  1  5  3 18 14 390 895 247 503   0   0    0   0   0   0   0   0   0   0   0   0   0   0
