Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
R_Dasayev     28 rus 26  1  1  1 15 137 300 300 480  20   0 1899   1 110  43   0   0   0   0   0   2   0   0
Z_Oki         31 jap 19  1  1  1 34 160 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Krapulus    23 kor 16  1  1  1 13 655 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Lawton      31 eng  7 26 11  5 33 300 559 181 448  12   0 1118   1   0   0  17   5   4   1   0  22   0   2
N_Vendig      31 spa  3 26 17  4  8  72 219 737 155  20   0 1875   1   0   0  22  14   4   0   1   0   0   0
M_Franzke     29 ger  2 24 17 16 26 300 907 813 554  17   0 1599   0   0   0  12  16  15   1   0  12   0   0
D_Grebeshkov  33 rus  7 23  6  1 23 299 391 353  13   2   2   45   0   0   0   0   0   0   0   0   0   0   0
I_Fingle      26 nir  5 22 13  9 13 300 526 576 291   8   0  760   0   0   0   8   6   7   0   1   4   0   0
W_Tamindzic   27 geo  8 21 16  4 40 460 801 618 243   7   0  672   0   0   0   5  11   2   0   1   0   0   0
J_Chasarik    23 geo  6 21 15 16 12 305 485 408 318  15   2 1304   0   0   0  13  18  10   0   0   0   0   0
Kaz_Harman    22 eng  1 21 15 11 16 714  42 710 433   6   1  483   1   0   0   6   4   2   0   0   2   0   0
N_Ciszek      22 rus  1 19  5  7 21 300 282 644 118   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Rehel       24 hol  1 18  3  4  8 300 920 431 400   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Serra       23 ita  1 18  6  3 37 300 777 779 277   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Woolman     28 rsa  4 12 24 15 27 300 609 885 612  20   0 1902   0   0   0   5  38  21   1   5   2   0   0
G_Futcher     33 GER  3 19 24 15 33 300 321 309 817  15   0 1422   2   0   0  10  21  24   3   3   2   0   0
R_Eulitz      28 spa  1  3 23 14 70 300 989 621 972  12   0 1100   0   0   0   3  18  19   0   0  12   0   0
S_Bonavita    31 nig  1 14 22  3 25 300 647 725 708   8   1  659   0   0   0   3   9   2   0   0   2   0   0
O_Fuegel      25 kor  3 12 22 14 29 500 472 977 600  17   0 1466   0   0   0   4  25  15   2   1   6   0   0
F_Herman      22 wal  6 14 21 11 21 500 650 787 574   9   0  779   2   0   0   4   7   4   1   1  10   0   0
I_Schnell     24 ger  2  7 21  9 10 390 652 528 810   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Goeden      30 bel  1  3 20 14 60 300  38 581 901   3   3  157   0   0   0   0   0   1   0   0   0   0   0
R_Lott        28 usa  1 13 19  7 47 300 390 190 173   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Rabidoggovic  27 por  1  4 19 13 32 300 972 818 644   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Goss        34 nzl  4 10 18  8 13 300 824 441 107   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Corriea     29 bra  1  5 18 17  9 300 898 374 907   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Paule       33 por  1 11 17 11 27 300 153 965  32   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Ivero       30 ita  1  4 16 24 38 300 803 595 946  20   0 1902   0   0   0   0  12  74   9   0   4   0   0
Y_Scanlon     24 usa  1  4 18 21 17 500 566 252 741   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Herman      22 swe  4 12 15 21 10 300 148 497 950  10   3  666   0   0   0   5   5  20   2   0   0   0   0
E_Juarez      28 mex  1  7 14 20 31 300 313 981 620   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Lemming_Jnr   22 nir  1 14 17 20 22 300  24 643 715  14   1 1320   0   0   0   5   6  34   3   0   2   0   0
Chebli_Stonk  25 kor  1  2 15 19 23 300 723 382 424   0   0    0   0   0   0   0   0   0   0   0   0   0   0
