Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
F_Finn        21 usa 21  1  1  1  8 221 300 300 300  15   1 1355   0  61  23   0   0   0   0   0   0   0   0
J_Boca        19 mex 18  1  1  1 33 580 300 300 300   2   0  159   0   6   2   0   0   0   0   0   0   0   0
H_Bletchley   21 aus 17  1  1  1 22 879 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Tolan       19 sco  1 20  5  7 18 300 616 667 777  16   0 1514   3   0   0  15   6  14   2   0   0   0   0
J_Gobble      21 rus  1 19  5  5 33 300 444 129 889   9   0  653   0   0   0   7   2   1   1   0   4   0   0
C_Puyol       19 spa  1 19  6  8 16 300  45 846 509  16   0 1514   0   0   0  14   9  12   2   2   2   0   0
M_Jura        19 cro  1 17 13  5 68 300 621 862 699  15   5 1056   1   0   0  16   8   4   1   1   2   0   0
W_Foe         19 bra  1 17  4  3 10 390 306 477 176   7   3  398   0   0   0   2   1   3   0   0   0   0   0
H_Felix       18 swe  1 16  9  7 12 300 525 880 739   5   2  263   0   0   0   1   1   1   0   1   0   0   0
H_Adamczyk    16 cze  1 16  4 10 38 300  70  57 150   3   3   89   0   0   0   0   0   0   0   0   0   0   0
F_Bolkiah     16 geo  1 15  4  9 15 300  99 781 245   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Abraham     16 wal  1 14  4  7 20 300  68 552 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Dim_Sum     21 jap  1  3 19  6  8 300 933 275 246   5   0  474   0   0   0   0   6   4   1   0   0   0   0
W_Blovet      20 rsa  1  4 18  5 54 300 990 701 913  16   0 1514   0   0   0   1  23   4   1   2   4   0   0
S_Pearson     20 nzl  1  4 18  4 54 300 231 534 483  16   0 1298   0   0   0   1  14   8   1   1   4   0   0
B_Lewandowski 19 cze  1  5 18  3 21 300 135 499 235  10   7  408   0   0   0   0   6   1   0   0   0   0   0
J_Dasiwa      18 por  1 14 18  9 12 300 106 379  83  14   0 1243   1   0   0   2  14   8   0   4   0   1   0
A_Correa      18 mex  1 10 17  8 18 300 430 863 758  13   4  822   0   0   0   1  15   6   0   0   0   0   0
K_Scott       18 sco  1  9 17  7 30 300 713 310 555   4   3  186   0   0   0   1   1   1   0   0   0   0   0
A_Suljic      17 cro  1 11 16  8 24 300 645 680 853   3   3  143   0   0   0   1   5   1   0   0   0   0   0
Y_Rifkin      20 aus  1  2  7 18 29 300 687 346 781  16   0 1368   2   0   0   1   5  30   9   0   2   0   0
R_Amezquita   21 mex  1  9  3 17 31 300 446 242 402   5   0  418   0   0   0   0   0   8   0   0   2   0   0
D_Solanke     17 fra  1 10  7 17 16 300 120 314 125   9   4  584   0   0   0   1   3  17   2   0   0   0   0
S_Konfirmer   18 spa  1  4  4 15  8 300 627 515 682   2   2   57   0   0   0   0   0   0   0   0   0   0   0
M_Muheim      17 ger  1  5  7 15 46 300  90 446  47   0   0    0   0   0   0   0   0   0   0   0   0   0   0
