Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Lee         29 kor 25  1  1  1 25 938 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Finn        23 usa 21  1  1  1  8 283 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Philippou   24 aus 18  2  2  2 10 490 633 525 669   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Noll        27 eng  8 25  6  3 20 500 268 644 586   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_David       25 hol  6 24 13  4 18 300 956 638 896   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Blos        27 por  9 24 15  4 21 300 159 138  63   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Vranjes     27 cro  1 22  5  6 29 300 262 625 431   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Zeller      24 usa  1 22  6 14 28 660 861 179 597   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Tolan       21 sco  1 21  5  7 18 300 310 780 854   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Beskovic    26 cze  4 21  4  4 28 300 948 953 684   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Herrera     22 mex  7 21 13  4 25 450 496 971 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Huckabone   25 nig  1  2 25  7 13 450 634 142 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Lockwood    25 hol  3  5 24  5 25 300 484 342 519   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Ljubicic    29 cro  1  4 23  5 16 300 954 153 402   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Harris      23 eng  5  8 23 13 12 300 762  61 138   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Worrells    28 aus  1 12 22  4 11 300  56 928 687   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Guckes      29 spa  1  3 21  5 21 300 991 654 928   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Makanaky    30 cam  4  5 21  7 16 385 891 610 186   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Devaris     25 aus  1  1 20 11 14 300 547 715  18   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Amr_Al_Sulaya 26 egy  1  7 20  3  8 480 428 525 807   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Blovet      22 rsa  1  5 18  5 54 300   7 830 964   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Pearson     22 nzl  1  4 18  4 54 300 231 654 499   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Vonbrendel  28 ger  3  5  8 24 27 300 593 570 665   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Rodrigues   30 spa  5  7 15 24 17 500 469 946 755   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Rooney      27 eng  1  4 15 22 41 300 508 801 620   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Liden       32 arg  1  6 13 21 33 300  75 854 621   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Francisco   22 arg  1  7  6 20 47 300 550 661 223   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Rifkin      22 aus  1  2  7 18 29 300 638 354 818   0   0    0   0   0   0   0   0   0   0   0   0   0   0
