Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Gibson      23 wal 23  1  1  1 29 735 300 300 300  25   0 2371   1 179  67   0   0   0   0   0   2   0   0
P_Medici      21 spa 18  1  1  1 28 969 300 300 300   5   1  400   0  12   2   0   0   0   0   0   0   0   0
C_Krueger     26 usa 16  1  1  1 22 418 300 300 480   1   1   14   0   0   0   0   0   0   0   0   0   0   0
Y_Guilbeau    30 cam  8 24 19  4 13 500 588 714 620  23   0 2109   2   0   0  40  34   6   1   3   2   3   0
H_Lavrinenko  30 rus  8 24 16 10 25 500 473 458 952  25   0 2313   1   0   0  33  15  18   3   1  22   0   1
H_Petersen    28 swe  9 24 17  5 35 500 592 687 844  27   0 2577   1   0   0  52  27  13   1   1   4   0   0
F_Paxton      31 nzl  8 23  5  2 45 500 863 760 379  22   0 1996   0   0   0  30   5   6   1   1  34   0   1
I_Chuze       20 cze  6 21 10  9 27 300 501 796 591  20   0 1897   1   0   0  18  15  16   3   0   2   0   0
T_Bester      24 nig  1 20  3  4 16 680 207 698  59   6   0  508   0   0   0   6   1   1   0   0   0   0   0
N_Moore       30 nzl  7 17 26 17 34 650 504 527 235  27   0 2577   0   0   0  16  36  38   3   1  10   0   1
R_Tulip       31 nzl  6 16 25 14 26 500 653 599 905  22   0 2009   1   0   0   8  29  26   4   2   0   0   0
T_Peace       25 egy  3  6 24  5 24 500 498 578 422  18   0 1663   0   0   0   5  30  10   1   3   2   0   0
W_Camona      27 egy  6 14 24 17 39 500 855 298 532  24   0 2293   1   0   0   8  38  35   4   6   8   0   0
E_Sindhom     29 egy  5 17 23 17 15 500 642 967 338  15   0 1317   0   0   0  10  19  19   2   4   0   2   0
B_Gallup      26 cam  3 12 22 15 29 500 532 394 916   8   3  622   0   0   0   0   8   2   0   0  10   0   0
D_Hamilton    21 rus  8 14 22 15 33 800 788 531 796  12   1 1082   0   0   0   7  14  10   1   0   6   0   0
P_Noller      27 nzl  2 11 21 16 27 500 731 839  38   2   0  190   0   0   0   0   1   4   0   0   0   0   0
G_Thomze      22 rus  5 15 21 13 26 500 738  53 782   8   2  681   1   0   0   7   9   7   1   0   0   0   0
P_Yesersky    22 jap  1  2 19  8 21 500 765 935  12   1   1   67   0   0   0   0   0   0   0   0   0   0   0
W_Skeels      22 ire  1  6 19  3 25 500  18 102 167   0   1    0   0   0   0   0   0   0   0   0   0   0   0
C_Bussard     32 EGY  1  3  6 27 23 500 541 243 277  23   0 2151   3   0   0   0   6  78  16   2   4   0   0
G_Rodrigues   29 spa  5  7 15 24 17 500 469 946 755   7   1  581   0   0   0   2   1  11   3   0  10   0   1
G_Dougherty   25 nir  4  5  8 22 27 500 456 448 973   7   0  667   0   0   0   0   2  11   0   0   0   0   0
D_Jacobi      22 cam  5  7  9 20 38 650 984 857 639   0   0    0   0   0   0   0   0   0   0   0   0   0   0
