Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Cipollino   28 ita 26  1  1  1 24 154 300 300 300   1   0   95   0   4   4   0   0   0   0   0   0   0   0
H_Moguff      23 den 22  1  1  1 29 120 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Ellis       27 eng 21  1  1  1 48 703 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Munros      31 gre  1 28  5  5 35 300 680 501  83   1   0   95   0   0   0   1   1   0   0   1   0   0   0
G_Sweeney     26 eng  6 25 15  6 56 300 648 215 699   1   0   95   0   0   0   2   1   0   0   0   0   0   0
R_Nilsson     22 cze  7 25 15  8 38 336 916 559 121   1   0   95   0   0   0   1   0   1   0   0   2   0   0
I_Mellors     33 aus  6 22 10  5 16 500 622 758 409   1   0   95   0   0   0   3   0   2   0   0   0   0   0
E_Pietras     27 geo  1 22 13  5 40 300 753 104 214   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Rudder      23 hol  1 22 16 10 26 300 301 759 151   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Chegwin     25 eng  1 19  6  6  8 300 392 503 894   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Soto        28 nig  1  4 27 15 34 500 937  17 967   1   0   95   0   0   0   0   1   1   0   0   0   0   0
M_Lathwell    26 eng  1  3 23 11 17 300   6 405 143   1   0   81   0   0   0   0   4   2   1   0  10   0   1
D_Dowicz      25 rsa  5 15 22 16 27 300 958 711 356   0   0    0   0   0   0   0   0   0   0   0   0   0   0
AJ_Omam_Biyik 22 cam  4  7 22 17 26 300 200 953 901   1   0   28   0   0   0   0   0   0   0   0   0   5   0
C_Findler     23 nir  1  5 21 15 14 300 805 148 442   1   0   95   0   0   0   2   3   0   0   0   0   0   0
M_Cakelele    29 fra  1 14 20  3 21 300 350 631 798   1   1   67   0   0   0   1   1   0   0   0   0   0   0
D_Rashid      23 wal  1  4 17  8 31 300 301 900 204   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Walker      27 ita  1  1 17 27 12 300 397 139 412   1   0   95   0   0   0   0   1   1   0   0   0   0   0
S_Walker      24 mex  1  4 17 25 24 300 383 501 502   1   0   95   0   0   0   2   1   4   1   0   0   0   0
R_Mcqueeney   28 aus  1  5  7 24 30 300 334 366 826   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Intrieri    22 uru  1 14  3 19 29 300 504 852 549   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Fecho       24 nzl  1  4  4 18 10 630 384 863 165   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Orand       22 kor  1  3  3 18 45 300 101 196 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Boner       22 ire  1  5  7 18 11 300 909 774 436   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Lefferts    35 bel  1  1  1 15 39 300 867 495 665   0   0    0   0   0   0   0   0   0   0   0   0   0   0
