Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
K_Trehearne   17 aus 16  1  1  1 18 504 300 300 300  12   0 1146   0  36   9   0   0   0   0   0   0   0   0
T_Nohel       17 jap 16  1  1  1 58 215 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Pioletti    19 arg  1 19  6  7 23 300  65 239 759  11   0 1041   0   0   0   7   1   3   1   0  10   0   0
J_Galford     19 aus  1 18  4  5 32 300 380 538 515  12   0 1146   0   0   0  10   3   4   0   0   4   0   0
Popescu       18 rsa  1 18 15  6 12 300  75 220 821  12   0 1146   2   0   0  16   7   5   1   1   0   0   0
D_Antoniou    19 bel  1 17  4  3 12 300 261  77 981   1   0   97   0   0   0   1   0   1   0   0   0   0   0
M_Trevett     19 fra  1  7 18 12 37 300 754 360 176  12   0 1085   0   0   0   5  10   7   1   0   8   0   0
J_Medearis    20 bra  1  4 17  2 12 300 705 641 956   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Pippin      20 jap  1  3 17  4 28 300 394 484 187   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Lars_R-Fish   18 rsa  1  6 17 14 10 300  28 843 153  12   0 1146   0   0   0   3  18   8   1   1   0   0   0
K_Breast      18 sco  1  6 17  3 42 300 777 621 457   1   1   61   0   0   0   0   1   0   0   1   0   0   0
Marc_Degryse  18 bel  1  7 17  8 30 300 755 402 602  12   0 1146   0   0   0   1   8   5   1   0   0   0   0
P_Milleson    18 ire  1  8 17  4  8 300 111 391 330   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Possin      18 bel  1  5 16  3 14 300 753 773 649   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Brilliant   16 bra  1  5 16  5 18 300 500 394 606  12   0 1146   2   0   0   3  24   4   0   2   2   0   0
A_Magennis    18 ire  1  9 16  9 17 300 520  46 728   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Urack       17 kor  1  9 15  7 51 300 203 968 166   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Intrieri    21 uru  1 14  3 19 29 300 494 861 495  11   0  989   0   0   0   8   2  13   3   0  10   0   0
S_Orand       21 kor  1  3  3 18 45 300  81 196 364   2   1  118   1   0   0   0   0   7   1   0   0   0   0
J_Boner       21 ire  1  5  7 18 11 300 889 729 366  12   0  872   0   0   0   2   1  10   0   0   2   0   0
S_Pippio      20 uru  1  8  2 17  9 300 927 954 388  11  11  253   0   0   0   1   1   5   1   1   0   0   0
D_Petrescu    17 rsa  1 14 10 15 22 300 654 223 283  12   0 1146   2   0   0   8   5  14   2   0   2   0   0
K_Dorian      16 rsa  1  9  3 15 31 300 450 887 244   0   0    0   0   0   0   0   0   0   0   0   0   0   0
