Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Census      29 bol 26  2  2  2 49 905 555 555 555  17   0 1609   1  82  23   0   0   0   0   0   0   0   0
S_Bignall     27 eng 23  1  1  1 34 826 644 644 644   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Jurgensen   22 den 22  1  1  1 11 866 832 832 832   1   1   36   0   3   1   0   0   0   0   0   0   0   0
F_Fenge       29 por 19  2  2  3 25  14 902 992  79   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Jarlath       28 ire  2 26 17  4  9 613  79 209 809  17   0 1643   0   0   0  23   8   2   0   1   0   0   0
G_Facchetti   31 ita  2 25 10  1 21 213 336 819 193  14   0 1307   3   0   0  17   6   3   1   2   2   0   0
M_Phelps      28 usa  2 25 20 10 27 373 129 529 813   9   0  769   0   0   0   7   6   1   0   5   0   0   0
C_Felix       31 usa  1 24  9  4 33 832 502 372 954  14   0 1331   0   0   0  22   5   3   0   0   0   0   0
G_Zuiverloon  32 hol  2 22  7 16  6 892 468 926 735   2   1  148   0   0   0   5   0   1   0   0   0   0   0
F_Muirhead    28 eng  1 22  4  9 30 580 482 980 186   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Ohnesorgen  25 nor  2 22  9  4 12 157 148 876 894   3   2  177   0   0   0   2   0   2   0   0   0   0   0
K_Murrant     22 sco  1 22 17  6 11 843 148 928  87  12   0 1174   0   0   0  11  10  11   2   0   4   0   0
L_Maul        25 eng  2 19  7  4 11 445 896 507 796   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Vyers       23 eng  2 19  3  8 26  13 595 914 489   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Cyriax      22 usa  2 19  7 12 48   5 401 895 896   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Bruffio       31 ita  2  8 25 15  8 950 683 760 588  17   0 1351   0   0   0   2  25  19   5   1   0   0   0
V_Rossi       27 ita  2 21 24 10 36 751 999 934 715  12   0 1116   1   0   0   9  27   7   2   1   8   0   0
S_Vassar      29 egy  2  8 24 21 16 979 970 800 718  17   0 1645   1   0   0   6  28  28   5   1   2   0   0
U_Matkovich   27 rus  2  6 24 21 30 688 224 195 611  17   0 1643   0   0   0   3  21  25   3   1   2   0   0
W_Maharoof    30 tun  2 20 23  3 35 643  79 652 901  13   8  725   2   0   0   6  14   2   0   2   0   0   0
P_Beaston     24 jam  2 19 21  9 31 209 439 568 449   4   4  127   0   0   0   0   2   0   0   0   0   0   0
Y_Dunshee     22 sco  1 13 20  2 37 850  35 799 538   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Vanwingen   26 hol  2  3 19  8 67 445 293 901 386   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Guilkey     22 usa  2  4 19 14 24   5 389 577 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Terribile   27 nor  2  5 21 23 10 521 617 764 638  17   0 1645   0   0   0   1  15  41   3   1   0   0   0
K_H_Mason     24 eng  2  3 20 22 31 193 532 465 545  14   0 1360   1   0   0   2  10  28   5   1   6   0   0
M_Haylett     32 eng  3 16  6 22 38 203 955 336  62   1   1    2   0   0   0   0   0   0   0   0   0   0   0
L_Selders     26 den  2  7 20 22 60 426 786 152 417   4   1  287   1   0   0   0   3   8   2   0   0   0   0
