Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Typpo       19 zzz 18  1  1  1 26 898 444 444 444   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Mulhair     20 nir 18  1  1  1  8 629 604 604 604   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Ruthrauff   19 den 16  1  1  1 60 737 604 604 604   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Cussen      21 nir  2 20 14  7 14  29 624 211 675   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Yow         20 fra  1 19  9  7 11 732 761 575 416   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Ludwell     19 zzz  1 18 10  1 12 444 563 852 813   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Wye         20 fra  1 17 11  7 14 740 950 698   6   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Player_8      18 zzz  1 17 14 10 49 444 935  51 521   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Twist       19 fra  1 17  2 13 14 680 758 952 436   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Vonbrendel  20 ukr  1 16  5  4 40 604 478 957 696   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Von_Briel   19 zzz  1 16  6 10 19 444 281 287 485   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Kukoda      17 zzz  1 15  5  2 24 444 433 494 838   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Wozny       18 zzz  1 14  4  3 15 444 425 514 962   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Withey      21 eng  1  4 22 16 32 848 411 810 174   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Zwaanstra   21 zim  2  5 21 15 16  29 305 145   4   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Queen       19 usa  1 14 19  6 18 604 763 970 771   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Buttrell    20 swe  1 10 19  6 16 604 784 436 705   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Durieux     19 fra  1 10 16  5 15 604 607 781 558   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Russell     17 zzz  1  2 15  5 16 444 730 718 258   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Ruscher     18 rus  1  6 15  4 11 604 253 536 437   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Rzeszut     17 zzz  1  9 13  3 40 444 683 302 873   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Duzak       18 zzz  1  9  5 17 27 444 571 794 551   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Bulingame   20 hol  1  7  6 16  9 604 302 143 757   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Creighton   16 xxx 14  1  1  1 12 273 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Strebig     16 xxx  1  4 14  7 22 300 357 217 287   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Druck       17 xxx  1 14  5  8 32 300 350 631 223   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Moschler    18 xxx  1  6 16 10 19 300 654 166 606   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Van_Meer    16 xxx  1  3 14  4 28 300 576 533 224   0   0    0   0   0   0   0   0   0   0   0   0   0   0
