Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Winslade    21 sco 18  1  1  1 28 942 300 300 300  15   0 1330   0  56  14   0   0   0   0   0   0   0   0
R_Grote       17 rom 14  1  1  1  8 992 300 300 300   1   1   93   0   0   0   0   0   0   0   0   0   0   0
C_Dundas      21 sco  1 19 18  9 38 678 644 790 901  15   0 1423   1   0   0  11   9  11   4   1   2   0   0
B_Ozbek       20 geo  1 19 16 10 35 300 638 472 810  13   0 1180   0   0   0  13   9   8   1   1   4   0   0
E_Baddorf     21 hol  1 19 11  8 56 300 121 763 799  12   0 1069   0   0   0   9   4   3   0   0   2   0   0
O_Costanzo    19 ita  1 18  7  4 16 300 592  17 208   7   1  621   0   0   0   9   2   2   0   0   0   0   0
X_Lochine     19 por  1 18  5 12 53 300  40 834  12   1   0   98   0   0   0   0   0   0   0   0   0   0   0
P_Stenberg    21 swe  1 17 11  4 18 300 658 431 509  13   0 1231   0   0   0   9   6   4   0   1   6   0   0
P_Viets       17 per  1 16  4  7  8 300  53 720 580   1   1   70   0   0   0   0   0   0   0   0   0   0   0
W_Constantino 21 gre  2 11 21 14 23 300 346 334 609  14   0 1282   1   0   0   5  24  13   1   3  12   0   0
S_Douthat     19 nig  1 16 20 16 36 300 652  27  56  15   0 1339   3   0   0   9  15  19   5   1   0   0   0
H_Tribur      20 kor  1  6 18  7 25 300 350 968 274  15   0 1423   3   0   0   7  25  13   0   4   2   0   0
U_Stanga      19 jap  1 10 18  7  9 300 249 303 321  13   0 1161   0   0   0   6  16  11   2   0   2   0   0
D_Bucklew     18 rom  1  7 16  9 42 300 131 461 268   3   1  222   1   0   0   2   4   1   1   0  10   0   0
W_Obershaw    20 rus  1  6  8 19 23 300 349 489  98  14   0 1229   0   0   0   2   2  34   4   1   2   1   0
G_Mordino     18 rom  1 10 16 17 19 300 505 783 705  15   0 1339   1   0   0   4  12  33   5   1   0   0   0
C_Wieling     17 per  1  9 11 16 20 300 656 606 540   6   4  401   0   0   0   5   4   7   0   0   0   0   0
B_Viccio      17 per  1  8  7 15 50 300 505 590 968   1   1   44   0   0   0   1   1   0   0   0   0   0   0
