Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Kapustov    21 rus 18  1  1  1 35 747 300 300 300   2   0  192   0   9   1   0   0   0   0   0   0   0   0
O_Devers      18 chl 16  1  1  1 27 285 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Yolkin      20 rus  1 19  8  4 11 300 213 864 379   2   0  169   0   0   0   3   1   2   0   0   2   0   0
M_Schultz     21 cro  1 18  9  5 32 300 692 622 122   1   0   86   1   0   0   1   2   2   1   0  10   0   0
S_Dobre       20 rom  1 18  6  8 38 300 496 271 729   2   0  168   0   0   0   3   0   2   0   0   0   0   0
C_Stirbei     19 sen  1 18  9 11 22 300  67  61 868   2   0  192   0   0   0   3   1   2   1   0   0   0   0
O_Bucsa       19 sen  1 16  9  8  9 300 893 700 740   2   1  118   0   0   0   5   0   1   0   0   0   0   0
Q_Detert      18 chl  1 15  6  5 25 300 541 307 303   1   1   24   0   0   0   1   1   1   0   0   0   0   0
D_Wathen      21 wal  1  9 19  5 34 300 714 320 513   1   0   40   0   0   0   0   1   1   0   0  10   0   0
I_Ungureanu   19 rom  1  7 17  6 25 300 400 823 266   2   0  192   0   0   0   0   5   3   0   0   0   0   0
D_Fidatov     18 rom  1  8 16  6 22 300 310 563 217   2   0  192   0   0   0   1   8   0   0   0   0   0   0
V_Dobre       17 sen  1  6 15 11 17 300 135 493 688   2   1  118   0   0   0   1   1   0   0   0   0   0   0
C_Ribelin     17 chl  1  4 15  3 42 300 617 307 248   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Deusner     17 chl  1 10 15  7 11 300 443 775 599   2   0  159   0   0   0   1   5   3   0   0   0   0   0
V_Eristov     19 rus  1  5  4 18 13 300 757 265 853   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Zefirov     19 rus  1  7  5 18  9 300 691  78  18   1   1   10   0   0   0   0   0   0   0   0   0   0   0
J_Pichugin    20 rus  1  6 15 17 12 300  86 985 806   2   0  192   1   0   0   1   2   5   1   1   0   0   0
A_Belousov    19 rus  1  8  8 17 19 300 231 665 677   2   2   67   0   0   0   0   1   2   0   0   0   0   0
R_Silano      18 chl  1  6 13 16 16 300 210 436 247   2   0  125   0   0   0   0   0   5   0   0   0   0   0
