Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
W_Oranday     21 cze 17  1  1  1  8 833 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Knecht      17 xxx 15  1  1  1 11 422 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Gancarz     20 cze  1 19 16  8 48 300 555 812 373   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Wittke      20 bel  1 18  8  9  9 300 628 391 331   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Bontempi    21 arg  1 17 11  5 14 300 737 424 296   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Kone        18 jap  1 17  9  5 27 300 474  80 121   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Wholaver    18 xxx  1 16  4  6 28 300 292 176 134   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Cokerel     17 xxx  1 15  5  5 20 300 579 119 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Hilton      16 xxx  1 14  8  9 25 300 500 129 132   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Huckman     17 per  1 13  2  2 10 300 361 192 636   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Bogomolov   18 rus  1 13  2  3 18 300 319 162 145   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Couden      21 ita  1  3 19  6 17 300 498 280 633   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Frayle      19 geo  1  7 18 11 16 300 929  87   7   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Dozier      19 rsa  1 10 17 15  9 300 330 851 387   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Grinwis     18 hun  1 13 16 10 25 300 993 386 841   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Bueno       18 hun  1  2 15 13 25 300 695 344 798   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Stitzell    17 hun  1  2 15 12 18 300 543 369 615   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Stamey      19 kor  1 12 15 18 23 300 319 425 599   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Konfirmer   20 spa  1  5  5 16  8 300 184  72 795   0   0    0   0   0   0   0   0   0   0   0   0   0   0
