Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Grattan     19 arg 18  1  1  1 11 167 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Norene      20 por 17  1  1  1 12 396 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Steffner    20 den  1 19 12  9 18 300 569 444 871   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Corso       19 mex  1 18  7  7 10 300 887 272 745   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Bruse       20 tur  1 18  9  7 15 300 709 360 106   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Van_Dien    19 tur  1 17  5  5 41 300 330 164 282   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Pineault    19 est  1 17  8  6 27 300 214 729 606   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Brogden     18 tur  1 16  9  4 23 300 863 460 109   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Zilewski    17 est  1 14  3  6 23 300 111 734 713   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Baadforer   21 ger  1  5 19  9 16 300 405 361  77   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Cangiamila  21 gre  1 11 17 10  9 300 768 575 818   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Dreng       21 egy  1  7 17  5 17 300 294 237 793   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Dufek       18 tur  1  7 17 12 18 300 279 420 598   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Jessup      18 est  1  9 16  4 12 300 673 713 503   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Skewis      17 est  1  6 15  4  9 300  23 410 636   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Roller      20 nig  1  9  9 19 17 300 486 312  95   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Dowse       19 nzl  1  6  6 17 11 300 766 744 496   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Grenville   19 aus  1  7  5 16 11 300 685 903 582   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Primm       18 tur  1 11 13 16 17 300 527 148 636   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Antkowiak   18 est  1 13  2 16 11 300  20 933 201   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Pfeifle     17 xxx  1 10  8 15 43 300 255 192 391   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Shinners    16 xxx  1  7 13 11 51 300 461 227 269   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Pettigrove  18 xxx  1  4  5 16 11 300 538 298 220   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_McGhie      18 xxx  1 16  5 10  9 300 337 212 207   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Siller      16 xxx  1 14  4  4 13 300 357 741 264   0   0    0   0   0   0   0   0   0   0   0   0   0   0
