Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Routier     22 sco 25  1  1  1 28 164 758 758 958  23   0 2214   0 129  34   0   0   0   0   0   0   0   0
C_Kent        25 eng 22  1  1  1 21 594 660 660 860   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Berkey      31 sco  3 24  9 14 18 397 590  24 110  20   0 1905   4   0   0  38  10  21   1   2   4   0   0
S_Albert      27 fra  2 24 10  5 35   3 239 436  53  22   0 2095   1   0   0  37  12   9   2   0   2   0   0
E_Ogren       26 nir  2 22 17  6  8 147 760 356  51  22   1 2052   2   0   0  25  20  20   3   0   0   0   0
R_Rufus       23 eng  2 22 15  5 25 147 133 332 790   4   0  352   0   0   0   3   2   0   0   2   0   0   0
G_Sullivan    23 eng  1 22 20  4 37 894 261 843 293  23   1 2110   2   0   0  29  23   9   1   2   2   0   0
U_Ogilby      27 can  2 20  6 10 17 701 955  34 305   1   1   61   0   0   0   0   0   0   0   0   2   0   0
O_Duncker     22 usa  1 20 14  3 34 962 502 321 446  10   0  905   0   0   0   6   6   4   0   0  12   0   0
C_Bentz       32 ger  2 18  8  1 12 755 445 135 202   1   1   43   0   0   0   0   1   0   0   0   0   0   0
O_Sharpe      31 ENG  2  5 23 17 16 718 691  13 616  20   0 1843   0   0   0   1  19  30   4   2   4   0   0
N_Moore       22 usa  2 16 22 11 32  87 753 251 205   9   0  760   0   0   0   5   9   5   1   0   0   3   0
K_Jones       23 eng  2 15 22  7 15 399 350 289 829  19   0 1701   0   0   0  10  28   8   0   3   0   0   0
S_Verma       26 wal  2  4 20  9 25 470 255 665 658  12   5  931   0   0   0   1  21   6   0   4   0   0   0
B_Muzinic     23 cro  1  4 20 10  9 300 374 627 999  21   0 1991   0   0   0   4  34  14   2   2   4   0   0
S_Puterbaugh  22 nzl  1 10 20  6 24 830 566 232 253   8   1  673   0   0   0   1  19   6   0   1   0   0   0
P_Largen      25 den  2  7 21 23 20  38 654 421 297  23   0 2186   3   0   0   4  22  71  12   2   0   0   0
G_Schweinler  23 can  2  5 15 22 10 165 293 214 917  15   0 1367   1   0   0   6   8  36   2   1  10   0   0
M_Hasson      25 pak  2  4  7 20 14 141 167 869 968  11   1  969   0   0   0   0   1  30   4   0   0   0   0
K_Lisbie      23 eng  2  6 14 19 11 105 913 265 112   2   2   86   0   0   0   0   0   1   0   0   0   0   0
