Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Lenort      17 sco 18  1  1  1 11 461 300 300 380   8   0  758   0  16   4   0   0   0   0   0   0   0   0
D_Curtsinger  21 usa 17  1  1  2 25 279 942 942  23   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Dunipace    19 ire 17  1  1  1 34 109 408 408 488   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Cundliffe   19 eng  1 18 10  7 21 728 833 766 493   8   0  758   1   0   0   5   8   4   0   0   2   0   0
M_Burchgen    18 eng  1 18  4  8 15 608 742 646 719   4   0  349   0   0   0   2   1   9   0   1   0   2   0
A_Cunius      19 ire  1 17  4  7 53 608 364 557 209   8   0  758   1   0   0   7   2   4   0   0   2   0   0
C_Emiliani    17 els  1 16  4  9 19 300  30 537 570   3   0  282   1   0   0   4   2   4   1   1   0   0   0
C_Codreanu    20 rom  1 15  7  6 15 722 612 978 155   5   0  469   0   0   0   7   2   1   0   0   0   0   0
P_Dwyer       18 aus  1 15  5  9 40 500 669 938 928   2   1  119   0   0   0   2   0   0   0   0   0   0   0
K_Power       18 ire  1 15  6  6 12 500 644 887 186   1   1   33   0   0   0   1   0   0   0   0   0   0   0
M_Faulds      18 can  1 15  8  5 27 500 663 577  88   3   0  264   0   0   0   1   3   5   1   0   0   0   0
V_Goltz       17 els  1 14  9  6 16 300 781 307 528   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Boliner     16 els  1 14  3  4 19 300 515 516 512   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Mourbey     20 cro  1  7 19 10 14 860 168  53 290   8   0  758   1   0   0   1  12   8   1   1   2   0   0
P_Ozier       18 eng  1 13 19  7 15 608 350 153 824   8   0  690   0   0   0   3  12   2   1   2   4   0   0
Y_Rizer       18 els  1  6 17 15  8 300 345 108 425   8   0  758   2   0   0   1  12   7   1   3   0   0   0
G_Voslow      20 bel  1  4 16 12 59 728 892 582  87   8   0  758   0   0   0   1  12   9   2   1   0   0   0
A_Stealth     18 nzl  1  8 16  5 13 500 346 312 885   1   1   68   0   0   0   0   0   1   0   0   0   0   0
A_Cashmore    18 eng  1  3 15  7  8 500 106 634 610   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Lutkers     20 can  1  3  5 20 10 608 812 968 117   8   0  734   0   0   0   3   1  14   3   0   0   1   0
M_Lumby       21 ire  1  5 11 18 17 728 479 641 768   2   0  192   0   0   0   0   0   2   0   0   0   0   0
V_Culton      20 nir  1  4  6 17 18 830 371 907 909   1   1   24   0   0   0   0   0   0   0   0   0   0   0
M_Surges      19 sco  1  4 11 16 10 608 451 154 779   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_McNelly     16 els  1  4 12 14 12 300 519 395 686   6   0  566   1   0   0   0   3   8   3   0   0   0   0
