Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Herrell     31 por 28  1  1  1 33 293 300 300 300  24   0 2280   2 183  51   0   0   0   0   0   0   0   0
F_Stoeber     27 ger 21  1  1  1 14 638 660 490 570   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Fien        22 spa 21  1  1  1 11  43 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Eelektross  22 mex 18  1  1  1 18 203 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Finnie      24 wal  1 29 15  6 14 300  63 642 602  17   0 1552   1   0   0  33  12   9   1   1   4   1   0
P_Calandra    30 aus  8 27 16 16 36 300 972 365 210  24   0 2280   2   0   0  48  17  23   3   1   0   0   0
W_Greer       25 aus  4 25 16  7 27 300 180 308 784  20   0 1838   0   0   0  23  14  17   3   2   6   0   0
C_Baradez     27 mex  6 24 17  3 20 300  39  87  50  18   0 1562   0   0   0  20  13   7   2   0  14   0   0
J_Iotov       24 rus  8 23  6  4 44 450 253 458 535  15   2 1252   0   0   0  31   1   6   1   0  12   0   1
B_Selves      23 spa  1 20  5  5 52 300 665 226 310   6   2  447   0   0   0   2   4   4   0   0   0   0   0
B_Dickie      22 eng  1 20  4  4 18 300  49 317 326   2   2  161   0   0   0   1   0   1   0   0   0   0   0
K_Mastalerz   24 mex  1 18  4  3 12 300 783 743 127   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Harrington  29 ire  1  5 29 11 36 660 206 547 609  24   0 2280   1   0   0   3  53  21   2   5   6   0   0
B_En'o        29 nig  5 12 26 16 39 810  65 147 566  21   0 1862   1   0   0   7  37  26   7   3  24   0   0
B_Kime        24 hol  2  5 26 12 24 300 547  40 957  24   0 2280   0   0   0   3  45  22   2   2   2   0   0
H_Kwein       32 JAP  1  5 24  8 30 390 270 256 409   3   0  288   1   0   0   0   3   2   2   1   0   0   0
O_Mueller     21 ger  2  5 23 17 33 300 529 347 763  24   0 2280   1   0   0   2  49  28   5   6   2   0   0
I_Giddeons    22 bel  1  4 19  5 54 300 499 387  63   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Owrey       26 gre  1  6 18  3  8 480 724 657 528   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Allen       23 sco  1  2 17  3 51 300 810 795 239   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Shattock    23 arg  1  4 17  7 59 300 648 392 854   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Koothrappali  28 sco  3  7 17 25 27 570 221 488 500  24   0 2280   2   0   0   3  23  87   8   2   4   0   0
S_Tegous      23 fra  3  9 13 24 22 300 766 879 935  24   0 2280   3   0   0   7  15  82  13   1   0   0   0
R_Snivy       22 ger  1  3  3 19 21 300 305 394 435   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Alexander   22 usa  1  4  3 17 41 300 545 156 240   0   0    0   0   0   0   0   0   0   0   0   0   0   0
