Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Muir        29 sco 27  1  1  1 11 676 300 390 300   8   0  758   0  33  14   0   0   0   0   0   0   0   0
S_Jensen      27 den 22  1  1  1 17 321 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Keup        25 gre 20  1  1  1  8  62 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Tchameni    33 cam  2 26 12  1 22 300 272 924 495   8   8  252   0   0   0   7   3   0   0   0   2   0   0
H_Ramzy       25 egy  4 25 20  6 16 300 689  82 552   8   0  728   0   0   0  10   6   2   0   1   0   0   0
Y_Bennic      24 cro  4 24 18 10 15 300 790 549 946   8   0  758   0   0   0  11   7   1   0   2   4   0   0
V_Vela        24 ita  7 24 15  3 22 300 430 955 707   8   0  569   0   0   0   4   0   1   0   0   0   0   0
T_West        20 nig  7 23 17  9 19 290 481 687 116   8   0  663   0   0   0  11   4   3   2   0   4   0   0
Y_Szczukowski 22 rus  5 22 16 13 25 500 664 202 174   8   0  758   1   0   0   6   4   7   4   0   2   0   0
L_Senholt     24 rsa  1 20  3 13  9 300 104 646 635   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Badelj      23 cro  1 20  3 15 10 300 242 546 478   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Mostovoi    24 rus  3 16 26 20 16 300 575 515 573   8   0  758   1   0   0   3  18  11   1   3   0   0   0
W_McGown      27 usa  2 15 25 11 17 300  75 847  59   8   6  354   0   0   0   2   6   5   1   1   0   0   0
T_Orbelianov  33 geo  1  1 24 13 19 300 755 338 270   4   4  129   0   0   0   0   2   1   0   0   0   0   0
D_Saravakos   23 gre  3 15 24 16 36 300 918 736  20   6   0  495   0   0   0   3  12   4   1   1   2   0   0
V_Diaz        22 spa  3 15 23 15 37 300 835 233 569   8   0  600   0   0   0   1   6   7   2   1   0   0   0
M_Zidlicky    34 cze  1  1 22  5 10 300 710 102 202   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Dejager     27 hol  2  6 19 12 15 197  96 258 355   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Villalobo   27 uru  3  6 16 27 11 300 646 476 283   8   0  752   0   0   0   1   0  23   2   0   0   0   0
Joao_Pinto    25 por  2  7 18 25 24 300 995 372 549   8   0  719   1   0   0   0   2  22   4   1   0   3   0
M_Haylett     33 ENG  3 16  6 22 38 203 985 366 130   2   2   45   0   0   0   0   0   1   1   0   0   0   0
