Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
I_Barisic     21 cro 17  1  1  1 37 715 300 300 300   2   0  192   0   7   6   0   0   0   0   0   0   0   0
D_Rozic       21 cro 16  1  1  1  9 243 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Tomic       19 cro 16  1  1  1 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Gundic      19 cro 16  1  1  1 23 273 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Z_Cvitkovic   18 cro 16  1  1  1 50 251 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Novak       17 cro 15  1  1  1 50 309 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Vlasic      17 cro 15  1  1  1 30 503 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Crncic      18 cro 15  1  1  1 48 534 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Badelj      21 cro  1 20  3 15 10 300 242 606 430   1   1   34   0   0   0   3   0   0   0   0   0   0   0
T_West        18 nig  7 19 15  7 19 290 947 899 624   2   0  192   0   0   0   2   4   0   0   1   0   0   0
N_Ostojic     20 cro  1 18  7  9 12 300 970 712 541   1   1   34   0   0   0   0   0   0   0   0   0   0   0
P_Huzjak      20 cro  1 17  7  3 44 300 436 152 257   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Crnkovic    20 cro  1 17  8  8 57 300 365 757 752   2   0  124   0   0   0   2   3   1   0   0   0   0   0
X_Babic       18 cro  1 17  3  6 18 300 236 149 904   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Kovac       17 cro  2 16 11 11 30 300 669 577 553   2   0  192   0   0   0   3   2   1   0   0   2   0   0
M_Filipovic   18 cro  1 16 11  3 36 300 370 160 780   2   0  192   0   0   0   2   0   0   0   0   0   0   0
V_Diaz        20 spa  3 11 22 14 37 300 407 221  37   2   0  192   0   0   0   1   1   3   1   0   0   0   0
F_Yeste       20 spa  4  7 22 13 49 300 995 111 137   2   0  192   0   0   0   0   3   3   0   0   0   0   0
B_Muzinic     21 cro  1  4 19 10  9 300 390 892 681   2   2   68   0   0   0   0   1   1   0   0   0   0   0
C_Ostojic     21 cro  1  3 18  2  9 300 919 707 762   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Z_Sutalo      21 cro  1  3 18  2  9 300 818 309 705   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Meredith    18 wal  2  7 18 11 28 300 977 967  36   2   0  124   0   0   0   0   0   2   0   0   0   0   0
F_Ljungberg   18 swe  1  4 17 16 17 450 996 787 182   2   0  192   0   0   0   1   3   3   0   0   0   0   0
V_Blazevic    20 cro  1  7 17  3 20 300 638 291 817   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Bebic       19 cro  1  5 17  3 11 300 131 373 705   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Radic       18 cro  1  9 16  7 14 300 876 439 663   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Stojic      17 cro  1  3 15  7 11 300 370 213 387   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Radonic     17 cro  1  2 15  4 17 300 201 263 156   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Elkjaer     19 den  5 14 16 20 34 300 250 704 415   2   0  192   1   0   0   0   1  10   2   0   0   0   0
G_Meazza      17 ita  1 10 15 18 15 300 930 208  30   2   0  192   0   0   0   0   4   2   1   1   0   0   0
T_Kissane     21 nig  1  2  4 16 18 300 997 820 253   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Maric       17 cro  1  3  2 15  8 300 754 716 376   0   0    0   0   0   0   0   0   0   0   0   0   0   0
