Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Worby       19 eng 16  1  1  1 27 772 300 300 300   2   0  190   0  21   6   0   0   0   0   0   0   0   0
G_Urrutia     18 pol 16  1  1  1 23 417 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Overton     18 ire 15  1  1  1 22 878 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Friggieri   16 pol 14  1  1  1 16 605 300 300 300   3   0  286   0  16   3   0   0   0   0   0   0   0   0
O_Kleboe      21 gre  1 18  3  7 32 300 685 129  86   5   0  476   0   0   0  15   1   3   0   0   0   0   0
H_Eze         20 eng  1 17  7  3 33 300 792 692 785   5   0  476   0   0   0   5   1   2   0   0   0   0   0
E_Stodieck    17 pol  1 15  6  5 64 300 732 835 430   5   0  476   1   0   0  13   3   4   2   0   0   0   0
K_MacRae      17 sco  1 14  5  6 26 300 640 303 945   2   0  190   0   0   0   7   0   2   0   0   0   0   0
M_Stueber     16 pol  1 14  4  3 53 300 601 368 321   3   0  286   0   0   0   9   0   0   0   0   0   0   0
Dani_Costa    21 por  1  4 19  7 60 300 368 458 211   5   0  476   1   0   0   2  17   4   0   1   4   0   0
B_Dingley     20 eng  1  7 19 14 70 300 422 508 117   5   0  476   0   0   0   0  12  11   2   2   2   0   0
A_Colley      21 ire  1  4 18  2 27 300 588 614 906   4   0  379   0   0   0   0  13   0   0   2   0   0   0
C_Hoban       18 wal  1  5 15  8 12 300 281 748 353   3   0  287   0   0   0   1   8   4   0   1   0   0   0
A_Rolfe       17 ire  1  3 15  3 12 300 963 567 185   3   0  286   0   0   0   0   6   2   0   0   0   0   0
J_Drotzier    16 pol  1  7 13  4  9 300 448 452 327   1   0   97   0   0   0   0   2   0   0   1   0   0   0
Simoncelli    21 ita  1  3  3 19 27 300 699 572  43   4   0  307   0   0   0   0   0  14   1   0   2   0   0
R_Kluckhuhn   21 ger  1  6  3 18 50 300 831 685 508   5   0  476   1   0   0   1   1  20   3   0   2   0   0
H_Cross       18 ire  1  2  7 15 14 300 774 744 486   1   1   72   0   0   0   0   0   8   1   0   0   0   0
M_Banks       17 eng  1  5  5 15  8 305 765 249 516   0   0    0   0   0   0   0   0   0   0   0   0   0   0
