Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Tarquin       23 usa 25  1  1  1 18 686 390 390 390   3   0  282   0  22   2   0   0   0   0   0   0   0   0
N_Rudduck     27 eng 21  1  1  1 56 440 375 375 645   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Keily       23 nir 17  1  1  1  9 857 490 490 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Lerner      29 wal  6 26 15  8 23 480 337 241 153   3   0  282   0   0   0   5   2   2   0   0   2   0   0
V_Hemingsley  31 ire  1 25 19 14 34 730 987 636 124   3   0  282   1   0   0   4   2   5   1   0   2   0   0
O_Diaz        32 MEX  9 25  7  3 12 300 953 247 685   3   0  282   0   0   0   5   0   1   0   0   0   0   0
T_Pratchett   23 usa  1 21  9  5 25 390 314 510  48   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Blumetti    20 ita  1 21  6  6 25 300 217 549 847   3   0  282   0   0   0   3   0   3   1   0   0   0   0
G_Southgate   24 eng  1 20  2  2 10 300 583 859 891   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Navarro     23 spa  1 19  3 10 25 390 656 815 679   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Sabatini    25 uru  1 11 23 11 37 480 770 784 757   3   0  282   0   0   0   2   7   3   1   1   0   0   0
F_Koo         24 kor  8 15 23 15 20 300 181 128 667   3   0  282   0   0   0   0   8   4   1   2   0   0   0
U_Ogozalek    23 rus  2 12 22 12 26 300 745 832 673   3   0  282   0   0   0   0  12   2   0   2   0   0   0
E_Bishop      24 eng  1  2 22 15 28 300 741 467 431   3   0  220   1   0   0   0   6   8   0   1   0   0   0
H_De_Munis    20 hol  1  8 19  3 28 300 259 207 639   2   2   62   0   0   0   2   2   0   0   0   0   0   0
D_Surfroney   26 gre  1  6 19  6 64 390 722 414 961   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Ollie_Jones   23 eng  1  5 19  4 44 390 324 525 368   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Hooey       25 swe  3  4  6 23 17 450 555 690 461   3   0  282   0   0   0   0   0  12   3   0   0   0   0
U_Beck        24 fra  2  2 10 22 25 300 561 915 365   2   2   42   0   0   0   0   1   2   0   1   0   0   0
R_Curtis      22 eng  1  5  5 19 11 390 429 503 665   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Boemelin    19 nig  1  9  4 19 35 300 502 802 431   3   0  240   1   0   0   4   0   5   2   0   0   0   0
