Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Clavicle      30 bra 28  2  2  2 27 110 733 733 733   6   0  573   0  36   8   0   0   0   0   0   0   0   0
V_Fulgencio   22 spa 23  1  1  1 20 266 750 750 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Kemmerer    26 can 21  2  2  2 20 591 647 647 647   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Schurman    29 ger  2 25  9  9 13 961 474 930 494   6   0  573   1   0   0  11   3   5   1   0   0   0   0
Q_Latsch      25 fra  2 24 13  5 21 157 165 426 862   6   0  573   0   0   0  11   2   2   0   0   0   0   0
L_Zweig       26 pol  1 23  4  8 47 994 331 999 336   1   0   94   0   0   0   1   0   3   0   0   2   0   0
T_Likely      27 eng  1 23 13 15 16 468 414  61 804   6   0  573   1   0   0   9   2   6   0   0   0   0   0
I_Scirocco    24 eng  2 22 12  5 33 121 711 381 399   5   0  363   0   0   0   6   3   1   0   0  12   0   0
V_Hunkler     25 den  1 22 12  1  3 492 117 727 327   2   2   48   0   0   0   1   0   0   0   0   0   0   0
Y_Fahy        26 swi  2  5 24 11 13 121  25 472 490   5   1  427   0   0   0   0   4   6   0   1   0   0   0
W_M_Arthur    26 sco  2 15 24 11 23 247 746 471 638   6   0  547   1   0   0   1  15   2   0   0   0   0   0
C_Lyell       23 sco  1 12 24 16 22 408 982 353 915   6   0  545   0   0   0   0   8  11   1   0  10   0   1
S_Howler      27 eng  1 16 22 10 29 468 594 532 369   5   0  410   0   0   0   4  10   7   0   1   4   0   0
Lucas         23 bra  2 11 22 16 43   3 314 261 851   5   2  301   0   0   0   0   8   1   0   0   4   0   0
N_Guindon     27 can  1  7 11 26  1 388 335 752 847   5   0  410   0   0   0   1   2  14   0   0   0   0   0
H_DeLespine   26 ita  2  4 10 24 15 201 146 476  93   2   0  193   0   0   0   0   0   6   1   0   0   0   0
Massimo_Rescu 26 ita  1  3 16 23 25 868  69 393  27   4   2  249   0   0   0   0   4   4   0   0   0   0   0
J_Purl        22 fin  1  6 17 20 16 868 888 439 785   0   0    0   0   0   0   0   0   0   0   0   0   0   0
