Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
O_Hunt        17 ice 19  1  1  1  9  46 444 444 444   8   0  761   0  24   7   0   0   0   0   0   0   0   0
M_Lukaicaite  20 bel 18  1  1  1 40 239 884 884 884   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Fulfit      19 bel 17  1  1  1 61 882 740 740 740   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Prosser     16 fin 14  1  1  1 23 820 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Wybrow      20 usa  1 19  7  6 38 740 605 771 524   5   0  449   1   0   0   8   1   7   0   0   0   0   0
Big_Yan       19 sco  1 19  9  9 25 652 787 159 118   5   0  386   0   0   0  10   2   3   0   0   2   0   0
E_Hughston    19 ire  1 18  7 12 21 604 674 861 774   8   1  692   1   0   0  10   7   5   1   1   0   0   0
G_Obilale     18 bot  1 17 13  6 12 604 585 509 699   6   0  571   1   0   0   8   2   3   0   1   0   0   0
K_Gussman     17 ice  1 16  3  7  8 444 184 104 203   1   1   87   0   0   0   2   0   1   0   0   0   0   0
P_Strouhal    17 fin  1 16 15  7 13 300 190 619 496   7   0  666   0   0   0   4   7   2   0   0   0   0   0
P_Eyermann    17 ice  1 15  2  5 25 444 283 112 542   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Studstill   16 fin  1 14  6  3 59 300 729 397 568   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Gurton      17 ice  1 14  6  5  8 444 719 743 185   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Brozo       16 fin  1 14 14  7 20 300 551 900 444   2   0  193   0   0   0   6   3   1   0   0   0   0   0
G_Gumprecht   19 ger  1  6 18  4 18 740 792 445 448   8   0  761   0   0   0   1  15   2   0   1   0   0   0
O_Cuyler      19 aut  1  7 17  2 18 604 979 551 766   3   0  284   0   0   0   1   6   0   0   0   0   0   0
P_Swatzell    17 ice  1  4 17  9 34 444 345 466  70   8   0  761   0   0   0   0  11   7   2   1   0   0   0
F_Listee      17 ice  1 10 17 11 17 444 502 436 839   8   0  761   0   0   0   4  12   5   0   3   0   0   0
U_Kuwasaki    18 chi  1  7 16  2  9 604 117 222 834   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Van_Engen   17 fin  1 10 15  8 12 300 824 657 749   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Czepczor    17 ice  1  3 14  7  8 444 423 671 685   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Crust       21 eng  1  5 17 21 21 884 426 303 535   8   0  732   0   0   0   3  13   9   3   0  10   0   1
R_Gumbrell    19 ice  1  8  4 19 13 444 613  18 122   7   0  667   1   0   0   3   0   8   4   0   0   0   0
E_Buranen     20 eng  1  3  7 17 56 740 909 434 412   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Hutchison   18 eng  1  3  6 17 17 604 666 696 118   6   0  571   0   0   0   1   1  12   2   0   0   0   0
K_Nuicco      17 ice  1 13  4 15 19 444 794 205 355   0   0    0   0   0   0   0   0   0   0   0   0   0   0
