Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
G_Garlic      31 fra 25  1  1  1 13 982 300 300 300   3   0  281   0   4   3   0   0   0   0   0   0   0   0
U_Sussie      27 gre 18  1  1  1 16 599 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Kuring      24 egy 17  1  1  1 12 706 300 300 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Lile        31 hol  2 23  7  7 17 296 554 900 727   3   0  281   0   0   0   4   0   3   0   0   0   0   0
O_Soup        32 FRA  1 23 10  9 17 300 585 975 938   3   0  171   0   0   0   1   1   2   0   0   0   0   0
B_Squeak      27 ire  1 22 16 11 25 300 842 119 664   3   0  281   0   0   0   2   2   1   0   0   2   0   0
A_Butlin      27 cam  1 21  6  2 13 300 752 535 823   3   0  281   0   0   0   5   0   0   0   0   0   0   0
D_Sangare     24 fra  1 20  3  4 52 390 419 734 305   3   3  110   0   0   0   1   0   1   0   0   2   0   0
E_Custard     26 por  1 19  3  2 32 300 996 856 773   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Mustard     22 sco  1 19 11  2 45 300 336 898 597   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Turkey      24 bra  1 18  8 15 36 300 730 232 640   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Crumble     31 aus  1  4 23  4 18 300 559 753 593   3   0  281   0   0   0   0   4   2   0   0   0   0   0
Y_Pudding     26 cze  1 15 21 14 18 300  49 846 782   3   0  281   0   0   0   1   7   0   0   0   0   0   0
T_Curry       29 bra  1  4 21  8 18 300 622 325 222   3   0  281   1   0   0   1   7   3   0   2   0   0   0
P_Piri        23 por  1  5 20  5 33 300 546 428 343   3   3  125   0   0   0   0   1   1   0   0   0   0   0
O_Kicyla      23 jap  1 11 19  3 33 300 410 934 926   3   0  156   0   0   0   0   0   1   1   0   2   0   0
F_Avsec       26 geo  1  6 18  3 10 300  78 529 391   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Stew        23 nir  1  5 18  4 20 300 405 764 501   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Allpaugh    22 cam  1  6 18  9 12 300 135 974 419   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Strejkende  28 den  1  5  5 21 36 300 541 249 169   3   0  156   0   0   0   0   1   1   0   0   0   0   0
C_Brownie     24 usa  1  9  7 19 15 300 275  79 646   3   0  281   0   0   0   0   0   5   1   0   0   0   0
L_Stew        25 cam  1  4  3 18 23 300 521 875  70   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Tagine      24 egy  1  7  2 18 69 300 338 761 568   3   3  125   0   0   0   0   0   3   1   0   0   0   0
