Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Napierala   20 rsa 18  1  1  1 10 468 300 300 300   2   0  194   0  16   4   0   0   0   0   0   0   0   0
L_Balmforth   20 aus 18  1  1  1 25 320 300 300 300   1   1    1   0   0   0   0   0   0   0   0   0   0   0
E_Meltzer     18 chi 15  1  1  1 34 658 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Gurevich    21 rus  1 20 18  4 17 678 151 892 558   2   0  195   0   0   0   3   3   1   0   0   0   0   0
C_Masala      21 sco  1 19  7  3  8 300 361 383 296   2   0  195   0   0   0   2   1   0   0   0   0   0   0
N_Corns       20 kor  1 18  6  4 30 300 564 490 126   2   0  157   1   0   0   4   0   2   0   0   0   0   0
P_Stanwell    20 nir  1 18  8  5  9 300 479 254 279   2   0  195   0   0   0   1   3   1   0   1   0   0   0
W_Hollington  18 nig  1 16  6  6 18 300 370 377 985   1   1   38   0   0   0   0   0   2   1   0   0   0   0
O_Pridemore   17 per  1 15  7  3 16 300 302 896 673   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Fricke      17 per  1 14  6  9 30 300 286 660 827   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Tomlinson   16 chi  1 14  5  4 60 300 294 354 407   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Cream       21 ire  1  3 19  9 25 300 105 431 427   2   0  195   0   0   0   0   4   1   0   0   0   0   0
G_Hallauer    21 den  1  6 19 15 10 300 847 642 452   2   0  195   0   0   0   1   3   9   1   0   0   0   0
Q_Miskell     21 por  1 11 18  6 27 300 291 798 331   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Kamplain    20 den  1  5 18  6 10 300 319 665 293   2   0  195   0   0   0   1   3   1   0   1   0   0   0
Q_Kopa        20 spa  1  4 17 10 33 300 768 977 713   2   2   57   0   0   0   0   0   1   0   0   0   0   0
K_Brinsmade   20 ire  1  8 17  4  8 300 620 900 661   2   0  138   0   0   0   0   2   1   0   0   0   0   0
Q_Joyal       19 per  1  7 16  6 16 300  51 603 988   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Porkujan    19 kor  1  9 16  5  8 300  49 415 883   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Mincher     19 egy  1  7 16 10 36 300 446 265 669   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Pitre       18 chi  1 11 16 10 10 300 711 338 195   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Frohwerk    17 per  1  5 15  4 31 300 984 465 693   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Minhinnick  18 rsa  1  6 15  4 40 300 380 399 511   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Balderrama  21 arg  1  7  5 18 40 300 616 969 746   2   0  128   0   0   0   0   1   4   0   0   0   0   0
R_Pork        21 usa  1  8  6 17 19 300 489 549 628   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Buckler     19 per  1  3  3 17 53 300 950 337 513   2   0  195   0   0   0   0   2   5   1   0   0   0   0
A_Fraser      18 swe  1  8  5 16 35 300 314 275 368   2   2   67   0   0   0   0   1   1   1   0   0   0   0
