Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
U_Greasky     25 rsa 23  1  1  1 25 898 500 500 500   1   0  123   0   3   0   0   0   0   0   0   0   0   0
N_Johns       22 wal 23  1  1  1  4 223 480 480 480   7   0  667   1  55  13   0   0   0   0   0   0   0   0
K_Seguna      24 spa 20  1  1  1 33 287 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Pydde       25 kor  1 22 15  3  8 300 769 828 366   8   0  790   0   0   0  15   3   3   1   0   0   0   0
G_Oxenrider   27 cam  1 22  7  9 29 400 429 716 166   4   0  408   0   0   0   2   3   3   0   0   0   0   0
D_Lattig      23 ita  1 22 15  5 23 480 106 992 574   8   0  790   0   0   0  12   4   1   0   0   2   0   0
P_Shirtliff   22 eng  1 21 18  3 23 660 394 147 349   8   0  790   1   0   0  19   9   1   0   2   0   0   0
L_Frey        20 usa  1 21  9  6 27 660 400 805 701   4   0  382   0   0   0   5   2   2   0   0   2   0   0
M_Rios        28 mex  4 20 15 13 36 300 945 802  92   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Rasmussen   27 den  1 20 15  7  9 390 527 587 211   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Alsman      23 ita  1 19 11  3 41 480 975 966 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Striplin    24 arg  5  7 24 12 26 450 646 189 698   8   0  736   0   0   0   2  14   8   1   1   0   0   0
D_Huckabone   23 nig  1  2 23  7 13 450 454 954 448   8   0  790   0   0   0   2  13   3   0   2   0   0   0
H_Morishima   26 jap  5  7 22  9 30 300 715 830 102   8   0  790   1   0   0   3  14  10   2   1   2   0   0
U_Terney      23 aus  1  3 22  7  9 560 674 223 912   8   0  790   0   0   0   1   8   3   0   1   0   0   0
W_Leyland     29 eng  1  5 21  5 53 300 659 635 867   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Zuniga      24 mex  1  5 21  5 11 480  66 963 875   1   1   54   0   0   0   1   0   0   0   0   0   0   0
A_Ladorlass   25 gre  1  2 21  8 13 300 865 124 338   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Mathen      28 nig  1  9 12 25 29 300 653 860 212   8   0  790   0   0   0   3   2  31   5   0   4   0   0
G_Dodd        24 sco  1 15 16 21 29 300 798 129 437   8   0  701   1   0   0   1   8  28   2   0   0   3   0
Efftee        25 por  1  3 17 20 38 300  26 245 275   2   2   89   0   0   0   0   0   2   1   0   0   0   0
Y_Koski       30 nig  2  4 13 20 17 300 161 606  95   0   0    0   0   0   0   0   0   0   0   0   0   0   0
