Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Bolder      19 eng 19  1  1  1 12 392 480 300 480   3   0  248   0  11   1   0   0   0   0   0   0   0   0
J_Wood        20 eng 18  1  1  1 14 127 480 300 480   8   1  700   0  19  10   0   0   0   0   0   0   0   0
S_Modica      17 fra 15  1  1  1 37  18 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Stone       16 eng 14  1  1  1 42 289 300 300 300   1   1   38   0   2   0   0   0   0   0   0   0   0   0
C_Powell      20 rsa  3 21 17  8 11 480 719 287 812  10   0  896   1   0   0   7  11  10   3   1   0   0   0
J_Goldie      21 rsa  5 21  8  5 25 300 228 657 662   9   0  833   0   0   0   7   9  10   2   1   4   0   0
S_Harvey      20 sco  1 18  5 10 18 480 341 853 149   9   3  687   0   0   0   7   1   8   1   0   0   0   0
T_A_Raszwolaz 19 swe  1 18 12  3 12 480 655 458 785  10   0  948   0   0   0   9  10   5   0   2   0   0   0
N_Bodhaine    21 bra  1 17  4  6 28 480 660 246 852   1   1   52   0   0   0   0   1   0   0   0   0   0   0
R_Skillings   17 rus  5 16 16 13 23 450 543 229 143   4   0  376   2   0   0   2   7   8   2   0   0   0   0
S_Goryunov    17 rus  1 16  6  3 17 300 186 671 175   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Brenneise   17 fra  1 15  9  7 55 300 925 197 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Withered    18 wal  1 15  7  9 11 300 798 364  68   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Locksmore   17 nzl  1 14  4  6 26 300 789 989 190   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Bowman      16 eng  1 14  5  3  8 300 767 482 404   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Moore       16 wal  1 14  6  5 37 300 717 502 461   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Jensen      20 den  1 12 21  3 19 480 993  13 729  10   0  948   0   0   0   4  13   4   0   0   2   0   0
D_Douglas     20 usa  1 16 20  6  8 480 508 327 799   6   0  538   0   0   0   2  13   7   0   1   0   0   0
J_Semedo      20 por  1 11 17  5 33 480 377 865 793   4   3  205   0   0   0   0   3   3   0   0   0   0   0
M_Holland     18 ire  1  4 17 16 14 480 756 854  58  10   0  948   0   0   0   0  17  18   1   2   4   0   0
L_Caroll      19 eng  1  4 17  5  8 480 261  57 583   4   0  381   0   0   0   0   0   2   0   0   0   0   0
F_Korth       18 kor  1  7 15  8 28 300 361 884  33   4   0  381   1   0   0   0   5   6   1   1   0   0   0
E_St_Ours     17 sco  1  7 15  7 48 300  60 773  92   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Bailey      17 eng  1  7 15  2 53 300 178 840 465   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Jeppson     21 swe  1  7 16 22 21 660  58 454 402  10   0  947   1   0   0   3  10  36   4   0   0   0   0
E_Firmani     18 ita  1 13 17 18 11 480  34 371 722  10   0  948   0   0   0   3  13  24   0   1   0   0   0
B_Actkinson   18 den  1  6 17 18 28 300 825 233 599   4   0  377   0   0   0   0   6  17   0   0   0   0   0
S_Bartlett    18 rsa  1  6  4 18  9 480 983 559  74   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Frankel     18 ger  1 12 11 17  8 300 184 264 878   1   2   15   0   0   0   0   0   0   0   0   0   0   0
