Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_McRitchie   21 jap 19  1  1  1 18 359 840 840 480  15   0 1422   0  60  18   0   0   0   0   0   0   0   0
M_Cornog      19 hol 18  1  1  1 52  87 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Bold        19 nzl 17  1  1  1 49  71 570 570 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Kindl       21 spa  1 19  8  6 36 570 390 962 463  15   0 1422   0   0   0  13   7  15   0   0   2   0   0
O_Kraemmer    19 gre  1 19 12  6 11 300 165 470  99   6   0  549   0   0   0   2   6   3   0   0   0   2   0
H_Dindane     19 kor  1 18  7  3 22 390 938 607 463  15   0 1404   2   0   0  13  10   6   1   0   0   0   0
R_Dankmyer    18 hol  1 18  9  7 11 390 605 410 883  15   0 1312   0   0   0  15   9  16   1   1   0   3   0
V_Barbieri    18 fra  1 17 16 16  8 390 988 211  57  12   2  974   1   0   0  10  14  20   3   2   0   0   0
W_Granger     18 ger  1 17 11  4 17 300 396 116  60   3   3  104   0   0   0   2   3   1   0   0   0   0   0
V_Boehling    20 ger  1 10 21  3 30 480 510  14 380  15   0 1407   0   0   0   1  24   6   0   5   8   2   0
G_Bithell     21 uru  1  6 20  5  9 570 251 251 153  15   0 1374   0   0   0   0  28   9   0   2   0   0   0
P_Nicolls     20 nir  1  4 19  8 17 390  42 289 123  15   1 1377   3   0   0   4  23  10   5   1   0   0   0
E_DiFilippo   21 bra  1 11 19  5  9 480 514 244  19  14   0 1195   1   0   0   7  19   5   0   2   0   0   0
Q_Piombino    20 kor  1  3 18  6 29 480 705 337 896   4   4  149   0   0   0   0   2   2   1   0   0   0   0
O_Kahl        19 bel  1  8 18  9 30 390 940 847 759   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Dilsaver    20 por  1  3 17  3 58 480 976 809 662   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Bonge       19 kor  1  3 17  5 43 390 952 531 193   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Bravo       17 eng  1  8 16 10 46 300 530 399 646   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Caligan     18 kor  1  6 16  8 10 390  56 290 863   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Pote        18 jap  1  3 15 10 34 300  96 950 376   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Wineland    16 eng  1 10 15  6 53 300 577   2 211   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Briden      16 eng  1 10 14  7 20 300 534 956 776   1   1    9   0   0   0   0   0   0   0   0   0   0   0
D_Galofre     19 jap  1  8 10 20 57 390 705 230 282   9   0  759   0   0   0   2   3  14   1   0   2   0   0
S_Poltanis    18 uru  1  8  6 18 30 300 473 223  53  15   0 1316   1   0   0   2   2  48   7   0   2   0   0
F_Gmerek      19 jap  1  3 12 17 56 390 795 390 219   9   2  808   0   0   0   1   7  29   2   1   4   0   0
F_Britzius    16 ger  1  4  3 15  9 300 838 957 287   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Winzenz     17 ger  1  5 10 15 11 300 563 598  72   1   1   54   0   0   0   0   0   5   1   0   0   0   0
