Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Theoharris  26 aus 24  2  2  2 27 597 363 398 363  13   0 1233   0  42   7   0   0   0   0   0   0   0   0
R_Wayne       29 eng 18  2  2  2 20 690 775 784 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Phluid        30 bel  1 27  1  1  7 840 137 902 689  13   4  859   0   0   0   7   1   3   0   0   0   0   0
M_Seder       26 nir  2 23 19  9 11 255 615 559 179  13   0 1210   0   0   0   9  13  19   1   2   2   0   0
D_Kemmerer    24 usa  2 22 20 15 14  16 743 121 820  13   0 1212   1   0   0  11  14  15   2   1   0   0   0
Atreyoo       25 arg  1 22 19  3 20 750 378 239  63  11   0 1011   1   0   0   2  15   3   0   3   2   0   0
L_Ryan        27 eng  2 22 21 19 13 597 106 565 915  12   0 1137   3   0   0   6  14  41   7   3   0   0   0
Avinho        25 bra  2 21 19  6 21  75 192 297 747  10   4  613   0   0   0   8   6   4   1   0   2   0   0
T_Hawley      28 nir  2 21 21  4  8 489   4 364 377   7   1  530   0   0   0   1  11   1   0   2   0   0   0
C_Burda       23 por  1 18  7  2 43 867 753 607 753   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Keifer      25 hol  2 18 17  7 10 255  12 493 822   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Seekell     29 saf  2 13 25  4 52 945 347 341 354  10   0  912   0   0   0   3  19   8   0   0  14   0   0
K_Raikkonen   30 fin  1 18 24  8 12 988 770 988 575  13   0 1200   0   0   0   4  19  12   0   1   0   0   0
P_Buswell     24 aus  1  8 22  1 10 857  16 565 572  12   2  958   3   0   0   1  18   3   0   3   0   0   0
L_Schoppe     24 ger  2  6 20 13 23 273 279 382  20   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Ruvo        22 col  1  7 20 19 38 732 916 524 784   6   5  191   0   0   0   2   3   0   0   0  10   0   0
C_Murray      23 eng  1  9 18  3 20 931 850 818 754   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Rummage     22 sco  1  5 18 13 19 847 376 491 277   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Beening     26 nir  2  5 17 17 27 255 676 714 638   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Papa_Lazarou  26 eng  2  4 19 24 44 279 195 986 196  13   0 1142   2   0   0   1   8  49   8   1   2   0   0
R_Gelman      24 aus  1 12 19 22 10 979 707 585 148  13   2 1020   0   0   0   2   8  34   6   0   0   0   0
Lamborghini   23 ita  1  5 13 21 24 664 976 729 163   9   7  304   0   0   0   2   4  20   2   0   2   0   0
L_Vaz_Te      30 mex  2  4  9 20 42 708 928 811  41   0   0    0   0   0   0   0   0   0   0   0   0   0   0
