Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Lukaicaite  21 bel 18  1  1  1 40 505 884 884 884  12   0 1084   0  71  16   0   0   0   0   0  10   0   0
J_Hudelson    18 jam 16  1  1  1 12 884 300 300 300   4   1  327   0  22   4   0   0   0   0   0   0   0   0
V_McQuaker    17 hun 15  1  1  1 26 139 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Lutrick     20 ger  1 20  5 12  8 610 700 848 313  15   0 1370   2   2   1  28   4  11   2   2   2   0   0
O_Duschl      20 fra  1 20  4 13 12 504 492 935 594  15   0 1419   1   0   0  20   2  17   1   0   0   0   0
S_Burtcher    19 slo  1 19  4  8 42 390 396 224 236  11   0  956   3   0   0  25   5  10   1   0   0   0   0
L_Aurada      20 slo  1 19 11  4 26 390   1 165   9  11   5  700   1   0   0  10   5   2   0   0   2   0   0
U_Kurze       21 den  1 17 11  3 21 504 133 903 489   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Tumulty     21 ire  1 17  7  2 18 606 113 380 969   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Myrman      20 slo  1 17  4  5  8 390 323 625 728   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Szura       20 slo  1 17  5 14 41 390 343 379 182   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Bodenhamer  18 hun  1 17  7 11 47 300 770 600 705  13   0 1038   1   0   0  15   8  11   2   0   2   0   0
U_Mejia       16 aut  1 13  3  4 21 300 846 415 496   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Wretham     20 ire  1  7 18  5 41 606 398 933 947  14   3 1074   0   0   0   4  22   5   0   3   0   0   0
K_Rushia      19 ukr  1 12 18  7 12 504 733 251 652  15  12  524   1   0   0   6  12   5   2   1   2   0   0
C_Stoddart    19 jam  1  4 18 14 41 300 964 263 692  15   0 1419   0   0   0   1  32  22   0   5   6   0   0
T_Props       19 jam  1  6 18 13 28 300  14  43 130  11   5  724   0   0   0   0  14   5   0   2   4   0   0
X_Howke       18 jam  1 10 17  8 18 300 151  97 502   1   1   32   0   0   0   0   0   0   0   0   0   0   0
B_Aveyard     21 rus  1  4 16  7 24 504 300 977 339   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Knibbs      17 hun  1  6 16 11  8 300 572 399 849  13   0  881   0   0   0   1  13  11   4   1   0   0   0
W_Toland      16 hun  1  8 15  2 17 300 912 565 614  13   1 1002   0   0   0   3  13   2   0   0   0   0   0
R_Kuyt        21 hol  1  7  3 19 18 504 688 414 469  13  11  401   0   0   0   1   0  11   0   0   0   0   0
E_Byrns       19 slo  1  5 16 19  9 390  61 554 852  14   0 1257   1   0   0   2  12  41   7   0   0   0   0
B_Dumsday     18 slo  1  4  6 18 18 390 839 582 360  15   1 1389   0   0   0   0  13  36   2   0   0   0   0
S_Gollihue    17 hun  1  2  6 15  8 300 885  39 383   0   0    0   0   0   0   0   0   0   0   0   0   0   0
