Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Wiens       20 cam 19  1  1  1  8 615 300 300 300   7   0  664   0  42  12   0   0   0   0   0   0   0   0
P_Bonanno     20 arg 17  1  1  1 15 148 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Difederico  20 arg  1 19  4  6 25 300 306 296 186   7   0  611   0   0   0  10   1   5   0   0   2   0   0
R_Pierrard    20 bel  1 18  3  4 41 300 343 897 775   5   0  459   1   0   0  11   4   6   1   1  10   0   0
P_Pane        19 bra  1 18  5  5 32 300 626 772 656   7   0  664   0   0   0  13   4  10   0   0   0   0   0
K_Arnhold     18 spa  1 16  8  4 29 300 764 298 830   4   0  276   0   0   0   0   5   1   0   0   0   0   0
C_Rosenweig   18 bel  1 15  6  8 18 300 697  16 478   5   2  371   1   0   0   6   1   3   1   0   2   0   0
W_Spykerman   16 uru  1 13  7  4 46 300 792 385 443   3   1  257   0   0   0   2   3   4   1   0   2   0   0
E_McElwee     21 arg  1  3 20  5  8 300 809 224 894   7   0  664   0   0   0   2  18   7   3   2   2   0   0
J_Klingbeil   20 ger  1  4 19  5 21 300 377 597 256   7   0  664   0   0   0   2  20   5   1   3   0   0   0
U_Blurton     20 ire  1  7 18  7 14 300 396  32 803   7   0  486   1   0   0   2  14   4   0   2   0   0   0
P_Knackley    20 nir  1  5 17 14 68 300 674 753 906   7   4  313   0   0   0   0   8  12   2   1   2   0   0
P_Banville    20 rsa  1  3 17  8 30 300 329 221 332   3   3  145   0   0   0   0   5   0   0   1   0   0   0
M_Urbanski    18 ger  1  3 15  4 20 300 813 656 904   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Councilman  18 ire  1 11 15  5 24 300 901 585 578   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Rossi       18 bra  1  5 15  4 53 300 574 504 361   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Noordijk    17 geo  1  3 14  2 23 300 360 775 419   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Wisel       17 gre  1  3 14  7 25 300 758 783 420   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Griff       16 por  1  3 13  3 54 300 403 699 693   4   0  384   0   0   0   0   3   0   0   0   0   0   0
R_Falconer    19 hol  1  5 12 18 12 300 385 678 874   7   0  664   0   0   0   0   5  19   4   1   0   0   0
J_Jagr        19 cze  1  5 15 18 22 450   7 209 853   6   0  297   0   0   0   0   3  18   3   1  10   0   0
H_Halewood    20 cze  1  8  3 17 10 300 288 485 540   6   5  284   0   0   0   0   1  10   1   0   0   0   0
E_Winkles     17 mex  1  2  9 14 25 300 467 395 580   0   0    0   0   0   0   0   0   0   0   0   0   0   0
