Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
R_Ceni        36 bra 36  2  2  7 30  59 800 800 800   2   0  191   0   7   3   0   0   0   0   0   0   0   0 100
K_Shand       28 eng 20  2  1  2 31 592 400 400 400   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Morgan      24 jam  3 26 11  7 10 380  95 755  58   2   0  167   0   0   0   3   1   0   0   1   0   0   0  98
A_R_Essien    36 sco  1 25 21  1 23 300 304 493 500   2   1  128   0   0   0   2   0   0   0   0   0   0   0 100
P_Tonosko     31 cze  2 25 12  7 21 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Vagini      29 bra  1 25 11  6 42 270  90 379 693   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Plummer     27 eng  1 25 11 11 22 800 479 779 706   2   0  152   0   0   0   4   0   0   0   0   0   0   0  98
E_Typutryi    29 arg  1 25  9 10 12 400   7  82 529   1   0   95   0   0   0   0   0   0   0   0   0   0   0  98
H_Onderlei    27 mex  1 25  9  5 13 400 400 400 400   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Howey       36 enf  2 24 20  5 36 300 155 194 154   1   0   96   0   0   0   1   1   0   0   0   0   0   0 100
E_Gabor       35 rom  2 19 26  5 21 400 104 694 740   1   0   96   0   0   0   1   1   1   0   0   0   0   0 100
R_Pires       32 arg  3  9 26 18 31 500 812 790 294   2   0  191   0   0   0   0   1   6   1   0   0   0   0  95
S_Winzor      27 eng  3 21 25 11 22 500 185 776  42   2   0  191   0   0   0   1   1   0   0   0   0   0   0  95
P_Henrique    34 spa  1 19 25  7 18 300 473 705 842   2   1   97   0   0   0   3   2   0   0   0   0   0   0 100
P_Coutinho    30 bra  2  7 25 16 31 300 863 534 315   2   0  120   0   0   0   0   2   4   0   0   0   0   0 100
J_P_Veron     32 arg  1  9 25 15 11 800 418 454 746   1   1   37   0   0   0   0   4   2   0   0   0   0   0 100
C_McGregor    28 sco  3 14 25  8 23 800 606 749 964   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Doriva        26 bra  2 23 24 10 21 800  95 359 787   2   0  191   0   0   0   1   3   2   0   0   0   0   0  95
Moreto        25 por  2 18 24  8 12 800 734  10 843   2   1   77   0   0   0   0   1   2   0   0   0   0   0 100
D_McHale      31 eng  2 17 24 12 28 800 223 358 912   2   2   81   0   0   0   0   2   1   0   0   0   0   0 100
Ricardinho    32 bra  3  5 12 28 40 300 384 409  81   2   0  191   1   0   0   0   0   8   1   0   2   0   0  95
