Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
C_Turner      25 eng 21  3  2  2 17 908 300 300 300  16   0 1525   0  99  32   0   0   0   0   0   0   0   0 100
C_Poenaru     22 rom 20  2  3  3 33 219 600 600 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Sagna       25 fra  2 22 10  7 18 300 371 565 402  19   4 1450   0   0   0  14  12  10   0   1   0   0   0 100
S_Vagini      21 bra  1 22 10  6 42 300 213 674 507  16   4 1338   0   0   0  11  15   9   2   2   8   0   0  93
S_Irwin       26 eng  2 21 12  8 29 300  95 839 192  14   3 1062   0   0   0  16  16  12   2   0  12   0   0 100
A_Andreasen   22 eng  3 21  8  7 32 500 721 286 225  12   5  888   0   0   0  17   8  13   2   2   4   0   0  95
I_Muresanu    14 rom  3 16  7  6 31 500 948 633 556  12   1  708   0   0   0  12   6   5   0   1   0   0   0 100
J_Fox         19 spa  1 13 21  8 21 300 171 100 826  15   3 1284   1   0   0  12  30  18   3   1   2   0   0  90
N_Saul        21 spa  3 11 20  4 23 700 990 294 782  12   8  737   0   0   0   7  16   1   0   1   0   0   0 100
Juninho       23 bra  2 10 20 10 21 800 280 892 542  13   5  913   0   0   0   5  20  15   2   0   2   0   0  99
M_Oezil       29 ger  2 15 19  9 18 300 368 306 366  15   3 1102   0   0   0   8  19  12   1   1   4   0   0  98
Ridoutkha     19 egy  2 14 19  6 20 600 781 842 903  16   5 1187   0   0   0  15  29  20   0   4   4   0   0  94
P_Singh       21 eng  3  9 19 12 41 500 559 406 237  10   9  452   0   0   0   2  13  10   1   0   0   0   0 100
D_Iacobescu   19 rom  1  9 17 14 33 500 672 942 895   7   1  605   0   0   0   2   8  18   3   1   4   0   0 100
G_Hutopila    19 rom  2  9 17 13 40 300 300 310 306   1   1   52   0   0   0   0   1   2   0   0   0   0   0 100
F_Parasca     19 rom  2 13 17  7 30 500 794 925 676   6   4  363   2   0   0   5  13   7   2   0   0   0   0  99
H_Vulcan      16 rom  1  6 15 12 33 800 860 985 849  10   0  805   0   0   0   3  17  17   0   1   0   0   0 100
D_Hasdeu      14 rom  2  7 14 10 21 400 418 528 436  15   0  793   0   0   0   1  13   7   1   0   2   0   0 100
N_Barbulescu  14 rom  2 10 14  6 11 600 778 928 683   9   0  772   0   0   0   6  11   8   1   1   2   0   0 100
V_Nicu        14 rom  3  9 14  7 20 300 414 449 328  13   0  817   0   0   0   6  14   7   1   1   6   0   0 100
I_Lupu        16 rom  1  8 13  9 21 600 640 630 627   4   0  212   0   0   0   2   3   7   0   0   0   0   0 100
J_Guidetti    25 swe  2  5 11 22 20 400 514 779 598  13   0 1213   1   0   0   0   8  71   7   1   4   0   0  94
G_Bogoescu    19 rom  2  6  7 19 21 700 700 700 707   1   1   26   0   0   0   0   0   3   0   0   0   0   0 100
