Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
I_Akinfeev    30 rus 28  1  1  1 28 435 300 300 300  20   0 1936   4 197  14   0   0   0   0   0   0   0   0 100
M_Sportiello  24 ita 19  1  1  1 21 872 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Bond        23 eng 17  1  1  1 22 941 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fabio         26 bra  1 18 13  6 14 300 635 383 704  19   0 1744   1   0   0  26  17  12   0   1  12   0   0  90
Doria         22 bra  1 18 11  5 20 300 473 511 765  19   0 1843   0   0   0  20  20  11   0   1  10   0   0  89
D_Carrico     28 por  1 18  8  4 20 300 106 642 367  18   2 1268   0   0   0  20   6   1   1   0  10   0   0  93
S_Bassong     30 cam  1 18 13  3 17 297  49 618 303  19   0 1754   0   0   0  22  18   6   0   0   0   0   0  84
J_Lukaku      22 bel  1 16  8  4 21 300 638 488 443  15  14  609   0   0   0   7   5   3   0   0   2   0   0 100
G_Tamas       33 rom  1 13 12  5 12 300 406 331 405  17   3  965   0   0   0  10   9   7   0   1   0   0   0 100
D_Dervite     28 fra  1 11  7  5 24 300 818 677 727   1   1   67   0   0   0   3   0   0   0   0   0   0   0 100
M_M_Daehli    21 nor  1  7 21 14 21 300 503  81  72  19   0 1819   0   0   0   6  24  29   0   4  14   0   0  87
E_Konoplyanka 26 ukr  1  5 19 11 32 300 767 882 163  20   0 1918   0   0   0   4  41  23   2   2   2   0   0  84
C_Stewart     20 eng  2 10 17  2 24   1 578 835 465  16   2 1256   0   0   0   8  21   2   0   2   2   0   0  95
S_Murray      23 ire  1 10 17 10 19 300 543  85 852  19   4 1476   0   0   0   9  20  19   1   2  12   0   0 100
A_Kuhl        20 eng  1 10 15  5 17 300 677 768 547  19  10 1128   0   0   0   8  18   7   0   1   0   0   0 100
V_Anita       27 ned  1 10 15  4 14 300  91 603 912   7   4  383   0   0   0   4  11   2   0   0   0   0   0 100
H_Arter       26 eng  1 11 13  2 23 300 155 793 846   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Moses       25 nig  1  2 13 10 20 300 901 698 467   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Byers       20 sco  1  8 13  7 17 300 210 608 247   2   2    8   0   0   0   0   0   0   0   0   0   0   0 100
D_Jones       32 eng  1  8 11  5 20 300 144 721 339   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Munari      33 ita  1  8 11  3 17 300  10 399  66   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Morata      24 ESP  1  5 10 22 18 300 632 988 198  20   0 1842   5   0   0   4   8  78   9   0  10   0   1  95
M_Vydra       24 cze  1  6 12 17 22 300 745  42 100  20   8 1071   1   0   0   4   6  21   5   0   2   0   0 100
