Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Johnstone   28 eng 16  1  1  1 20 857 100 100 100   3   0  284   0   5   2   0   0   0   0   0   0   0   0 100
J_Bond        28 eng 15  1  1  1 21 100 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Gibbs       31 eng  1 16 12  5 26 100  67  49 237   3   0  284   0   0   0   2   2   0   0   0   0   0   0  94
S_Ajayi       27 nig  1 15  8  4 21 100 265  88 423   2   0  191   0   0   0   3   2   3   1   0   2   0   0 100
C_Townsend    28 eng  1 14 10  4 24 100 860 455 246   2   0  191   0   0   0   3   0   0   0   0   0   0   0 100
K_Wilson      21 eng  1 14  9  3 21 100 690  99 560   2   1   28   0   0   0   0   0   0   0   0  10   0   1 100
N_Ferguson    20 eng  1 14  7  3 26 100 527 414 294   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Furlong     25 eng  1 14  9  3 21 100 384 422 331   2   2   35   0   0   0   1   1   0   0   0   0   0   0 100
C_Connolly    23 CPT  1 12 17  6 27 100 885 897 616   3   0  278   0   0   0   3   5   0   0   0   0   0   0  96
A_Anguissa    25 cam  1 13 16  5 20 100 213 264 749   3   0  234   1   0   0   1   6   3   0   1   0   0   0 100
M_Pereira     25 bra  1  3 15 12 26 100 632 973 234   3   2  128   0   0   0   1   0   7   1   0   0   0   0 100
F_Krovinovic  25 cro  1  5 15 11 25 100 606 807 623   3   1  190   0   0   0   0   1   3   0   0   0   0   0  98
M_Phillips    30 sco  1  3 15 11 21 100 826 536 702   1   0   54   0   0   0   0   0   3   1   0   0   0   0 100
J_Livermore   31 eng  1 12 15  5 20 100 810 204 760   3   0  253   0   0   0   0   0   1   0   0   4   0   0 100
B_Kapustka    24 pol  1  3 14 10 28 100 524 803 313   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Grosicki    33 pol  1  3 14 11 25 100 179 760 473   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Harper      21 eng  1  9 14  8 20 100  80 451  94   3   1  228   1   0   0   1   1   0   0   1   2   0   0  98
G_Barry       40 eng  1 12 13  5 26 100  40 923 105   3   0  284   0   0   0   1   4   1   1   0   4   0   0  94
S_Field       23 eng  1 10 13  4 26 100 819 950 919   2   2   34   0   0   0   0   1   0   0   0   0   0   0 100
C_Brunt       36 nir  1 10 13  5 21 100 850 719 795   1   0   77   0   0   0   0   1   0   0   0   0   0   0 100
R_Brewster    20 eng  1  6 12 16 26 100 231 271 310   3   0  284   0   0   0   0   4   8   1   0   2   0   0  94
C_Austin      31 eng  1  3  8 16 20 100 357 817  10   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
