Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Piehl       29 ger 26  1  1  1 19 522 300 340 340  22   0 2037   1 167  46   0   0   0   0   0   0   0   0
F_Ankiewicz   28 rus 20  1  1  1 17  56 300 300 300   2   1  129   0   5   1   0   0   0   0   0   0   0   0
P_DeGenova    23 spa 17  1  1  1 10 591 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Hen_Lee     29 kor  2 26 17 12 11 300 169 853 316  22   0 2017   0   0   0  39  14  18   0   2  12   0   0
M_Alaa_El_Din 32 egy  5 24 12  1 23 300  76 727 575  17   0 1435   1   0   0  20  14   3   0   2  14   0   0
C_Hetland     30 sco  5 23 16  1 11 300 754 113 982  18   0 1635   0   0   0  26  18   3   0   1   2   0   0
W_Silva       29 uru  8 23 12  3 12 300 269 568 770  23   1 2047   3   0   0  38  22   6   1   5   2   0   0
K_Thode       22 swe  1 19  3  7 10 300 796 724 828  11   2  726   0   0   0  15   1   6   1   0   0   0   0
M_Zelner      22 spa  1 18  4  2 50 300 399 744 711   7   5  417   0   0   0   5   0   1   1   0   0   0   0
O_Sheldon     22 kor  1 18  3  2 11 300 103 381 571   3   2  179   0   0   0   4   2   0   0   0   0   0   0
F_Masalin     28 bel  7  9 24  7 24 300 800 829 988  23   0 2166   0   0   0   5  42  16   4   4   6   0   0
M_Pritchett   31 cam  1  6 24  4 35 300 239 237 775  22   0 2020   0   0   0   8  36   6   2   2  14   0   0
H_Gobel       28 ger  3  4 23  7 29 300 447 750 479  20   0 1832   0   0   0   1  20  15   1   3  24   0   0
D_Ogunjobi    28 nig  4 14 22 16 34 300  75 884  87  23   0 2085   3   0   0   9  41  30   4   4   2   0   0
V_Roche       32 den  1  3 19 13 36 300 499 846 206   8   3  502   0   0   0   1   5  10   2   0   2   0   0
C_Eaglesham   24 egy  1  7 19  4 15 580 661 406 421   2   1  116   1   0   0   1   2   1   0   2   0   0   0
I_Schwaner    22 nzl  1  3 17  5 15 300 576 183 450   1   1   26   0   0   0   0   0   0   0   0   0   0   0
G_Lonsdale    30 sco  1  7 14 27 58 300 569 653 615  22   0 2058   1   0   0   6  12  83  13   1  12   4   0
D_Kolsch      33 CZE  1  4  8 22 39 300 754 866 888  22   0 1879   0   0   0   3  10  49   9   0   2   0   0
L_Castel      23 spa  1  2  3 19 15 300 713 873 979   9   8  260   0   0   0   1   0  13   2   0   2   0   0
X_Burgan      24 ire  1  8  4 18 16 300 469 713 325   1   1   39   0   0   0   0   0   4   0   0   0   0   0
S_Burchett    23 nir  1  3  4 16 15 300 721 678 189   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Shearson    22 mex  1  8  3 16 72 300 658 735 723   0   0    0   0   0   0   0   0   0   0   0   0   0   0
